file_path,source_row_path,size_bytes,git_tracked,deletion_status
data/_system/bulk_diagnostic/swing/logs/ALLE.log,data/_system/bulk_diagnostic,5666,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ALLY.log,data/_system/bulk_diagnostic,8747,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ALNY.log,data/_system/bulk_diagnostic,8775,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ALSN.log,data/_system/bulk_diagnostic,7391,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ALV.log,data/_system/bulk_diagnostic,8008,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AMAT.log,data/_system/bulk_diagnostic,6772,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AMBA.log,data/_system/bulk_diagnostic,7078,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AMC.log,data/_system/bulk_diagnostic,8784,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AMCR.log,data/_system/bulk_diagnostic,5663,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AMD.log,data/_system/bulk_diagnostic,6608,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AME.log,data/_system/bulk_diagnostic,3333,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AMGN.log,data/_system/bulk_diagnostic,6900,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AMKR.log,data/_system/bulk_diagnostic,7086,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AMP.log,data/_system/bulk_diagnostic,4876,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AMT.log,data/_system/bulk_diagnostic,6295,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AMX.log,data/_system/bulk_diagnostic,7530,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AMZN.log,data/_system/bulk_diagnostic,7246,False,DELETED
data/_system/bulk_diagnostic/swing/logs/AN.log,data/_system/bulk_diagnostic,8749,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ANDE.log,data/_system/bulk_diagnostic,7853,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ANET.log,data/_system/bulk_diagnostic,8783,False,DELETED
data/_system/bulk_diagnostic/swing/logs/ANSS.log,data/_system/bulk_diagnostic,1685,False,DELETED
