candidate_id,stage,ticker,rulebook_hash,source_file,source_row_index,done_marker,profile_eligible,origin_complete,period_count,all_history_n,all_history_avg_pnl_pct,all_history_win_rate_pct,base_n,base_avg_pnl_pct,base_win_rate_pct,holdout_n,holdout_avg_pnl_pct,holdout_win_rate_pct,history_avg_atr_pct,vol_group,weight_volume_surge,check_complete,check_history,check_boil,check_ce,ce_ratio,ce_top2_share_pct,static_status,static_fail_reasons,static_hold_reasons,elite_static_pass,elite_filter_reason,elite_score,denylisted,selected_static,selected_stage_rank,oos_expectancy_pct,oos_fitness,oos_win_rate,oos_trade_count,worst_drawdown_pct,signal_threshold,volume_surge_ratio,recommended_static_status,history_win_monitor,boil_monitor,ce_monitor,final_p99_weightless_block_status,boil_exclusive_block,post_boil_static_status
stage3:AGYS:4aabc2e18954,stage3,AGYS,4aabc2e18954ba707176f2629d708586be01b0bbdbf7be35beed15ce59b4749f,exp_batch_stage123_2009_20260616_full/tickers/AGYS/stage3/final_rulebooks.jsonl,19,True,True,True,3,90,1.9559905394291115,55.55555555555556,70,1.6821947622593465,54.285714285714285,20,2.914275759523285,60.0,4.125722884270477,NON_HIGH_VOL_PROXY,1.3632543606419696,PASS,PASS,PASS,PENDING,,,PASS,,,True,pass,125.63517132959392,False,True,40.0,5.959884348210052,105.4679297285396,83.33333333333334,18,-9.581077865703104,2.433208048591037,1.4864505300736628,PASS,False,False,False,PASS,False,PASS
stage3:AZZ:36aa8d9660cd,stage3,AZZ,36aa8d9660cd3b3562189bb4979bfa2da581d0f2e67a60df16fada5e49506a26,exp_batch_stage123_2009_20260616_full/tickers/AZZ/stage3/final_rulebooks.jsonl,10,True,True,True,3,42,2.262132052974966,71.42857142857143,34,2.26147108810356,73.52941176470588,8,2.26494115367844,62.5,3.819079477787436,LOW_VOL,0.7632648703549969,PASS,PASS,PASS,PENDING,,,PASS,,,True,pass,125.25606400547854,False,True,41.0,6.663075630753892,104.72997389212082,91.66666666666666,12,-11.940522811688965,3.120196030552311,1.2002109554578504,PASS,False,False,False,PASS,False,PASS
stage3:CPRX:c797458a15b8,stage3,CPRX,c797458a15b8b4959595a4344e7afe9c9b95a1ab55323b887405872ec7d0e77b,exp_batch_stage123_2009_20260616_full/tickers/CPRX/stage3/final_rulebooks.jsonl,26,True,True,True,3,42,4.1871422337784345,59.523809523809526,30,4.810705872347474,56.66666666666666,12,2.628233137355839,66.66666666666666,4.474344377752083,NON_HIGH_VOL_PROXY,2.0,PASS,PASS,PASS,PENDING,,,PASS,,,True,pass,124.8382875054469,False,True,42.0,6.6915420696972205,105.74928414643028,70.0,10,-7.411992595660195,4.0,2.079990491674003,PASS,False,False,False,PASS,False,PASS
stage3:CDNS:11bb0bb61f66,stage3,CDNS,11bb0bb61f664f4034882704180598a124b885fc2ff6bcab25902682aafe9411,exp_batch_stage123_2009_20260616_full/tickers/CDNS/stage3/final_rulebooks.jsonl,11,True,True,True,3,32,3.206123287845076,71.875,25,3.782492824509745,72.0,7,1.1476606568998269,71.42857142857143,4.279148177769946,NON_HIGH_VOL_PROXY,0.0992527095572485,PASS,PASS,PASS,PENDING,,,PASS,,,True,pass,122.6631924485979,False,True,44.0,7.222897925926446,53.12914511964631,77.77777777777779,9,-7.4752753663425295,2.8116911827131235,1.651449853140751,PASS,False,False,False,PASS,False,PASS
stage3:BKD:7a8b2a9643f7,stage3,BKD,7a8b2a9643f75552445c5817285b53e66e2bb1c1867b84fd62e5498dddc9a663,exp_batch_stage123_2009_20260616_full/tickers/BKD/stage3/final_rulebooks.jsonl,12,True,True,True,3,48,2.5404776236349083,66.66666666666666,34,2.8765841572034985,67.64705882352942,14,1.7242188992540457,64.28571428571429,3.971536689160851,NON_HIGH_VOL_PROXY,2.0,PASS,PASS,PASS,PENDING,,,PASS,,,True,pass,122.63241635810977,False,True,45.0,7.073309802634267,107.87379912965788,83.33333333333334,12,-5.284882506563296,3.524120343638824,1.627646514772356,PASS,False,False,False,PASS,False,PASS
stage3:CAMT:7b48739b585c,stage3,CAMT,7b48739b585cb294ea7f57813d43f73f9cf85b91000e5737b5084de97c2ff812,exp_batch_stage123_2009_20260616_full/tickers/CAMT/stage3/final_rulebooks.jsonl,1,True,True,True,3,71,4.028518364231467,78.87323943661971,54,4.4795570116462535,77.77777777777779,17,2.595807366560962,82.35294117647058,4.875474320943781,MID_VOL,0.0,PASS,PASS,PASS,PENDING,,,PASS,,,True,pass,122.2181916211512,False,False,,6.356726347474971,105.9136765740607,80.0,15,-8.36843468917732,2.0678086962706312,2.34049643151411,PASS,False,False,False,PASS,False,PASS
stage3:CAT:37c68667fed1,stage3,CAT,37c68667fed1213098482b263ab6bab7c2254c5e1a8be9b1d7b865d05bd115c4,exp_batch_stage123_2009_20260616_full/tickers/CAT/stage3/final_rulebooks.jsonl,55,True,True,True,3,51,2.647250367777376,70.58823529411765,35,2.328862128851033,68.57142857142857,16,3.3437246404287486,75.0,2.695873819204265,LOW_VOL,0.0,PASS,PASS,PASS,PENDING,,,PASS,,,True,pass,121.67266949043312,False,False,,6.362525916254096,107.5133363601833,75.0,12,-4.886899356815512,2.7423798649697764,1.6579165834528578,PASS,False,False,False,PASS,False,PASS
stage3:BE:a5d4fc458d7a,stage3,BE,a5d4fc458d7ac2e4dbfb611fbdc46a2d993496485b92b6f5173d3e06ec835b67,exp_batch_stage123_2009_20260616_full/tickers/BE/stage3/final_rulebooks.jsonl,30,True,True,True,3,76,4.01132950588158,57.89473684210527,57,3.05715290001164,56.14035087719298,19,6.873859323491399,63.1578947368421,7.113795714018892,HIGH_VOL,1.955472981631435,PASS,PASS,PASS,PENDING,,,PASS,,,True,pass,121.5699223255638,False,True,46.0,5.984682345229706,106.0228505731435,72.22222222222221,18,-7.201258897164376,2.630765195383071,1.4606054440717633,PASS,False,False,False,PASS,False,PASS
stage3:ARCB:42ff7f635300,stage3,ARCB,42ff7f635300374df3dcb0c9b0f15a6ba12bea89276f62ef0b02596eb69779d6,exp_batch_stage123_2009_20260616_full/tickers/ARCB/stage3/final_rulebooks.jsonl,6,True,True,True,3,41,2.827137051471463,60.97560975609756,28,3.3359517365426044,60.71428571428571,13,1.731228499010543,61.53846153846154,4.469385736581473,NON_HIGH_VOL_PROXY,1.1071783511552384,PASS,PASS,PASS,PENDING,,,PASS,,,True,pass,121.12956793368306,False,True,47.0,7.473400317791302,52.98710611768155,77.77777777777779,9,-7.982557516216659,2.9198087199221963,1.431700310463935,PASS,False,False,False,PASS,False,PASS
stage3:ALK:4c83b1b07cb3,stage3,ALK,4c83b1b07cb33f2d4ea2d046da2b0db156b366c9e0b9160ed4d389080a1aa919,exp_batch_stage123_2009_20260616_full/tickers/ALK/stage3/final_rulebooks.jsonl,46,True,True,True,3,86,1.1138991036280654,53.48837209302325,66,1.0378647402132497,54.54545454545454,20,1.3648125028969584,50.0,3.5891238181774017,NON_HIGH_VOL_PROXY,0.609751816917107,PASS,PASS,PASS,PENDING,,,PASS,,,True,pass,119.55730739419502,False,True,48.0,4.113303626918388,154.85539142639172,75.0,20,-3.305760717010351,2.6197677282780973,1.3814560928240172,PASS,False,False,False,PASS,False,PASS
