window,slice_name,slice_value,unvalidated_gene,candidate_n,trade_n,candidate_equal_avg_pnl_pct,candidate_equal_win_rate_pct,candidate_equal_avg_mae_pct,candidate_equal_avg_mfe_pct,candidate_equal_worst_mae_pct,exit_distribution,metric,n_unvalidated,n_validated,difference,bootstrap_ci_low,bootstrap_ci_high
FULL_5Y,stage,stage2,False,11,3371.0,1.943651276447519,67.12451961560848,-3.562405796506788,5.676785417978243,-25.3074943686,"{""breakeven_stop"": 910, ""stop_loss"": 210, ""take_profit"": 500, ""time_out"": 1240, ""trailing"": 511}",,,,,,
FULL_5Y,stage,stage2,True,2,725.0,2.1186829801013514,66.12956101428723,-3.768559653287793,6.205131797762835,-27.417801926,"{""breakeven_stop"": 284, ""sell_omen"": 7, ""stop_loss"": 27, ""take_profit"": 97, ""time_out"": 283, ""trailing"": 27}",,,,,,
FULL_5Y,stage,stage2,DIFF_UNVALIDATED_MINUS_VALIDATED,13,,,,,,,,avg_pnl_pct,2.0,11.0,0.17503170365383247,-0.40169954324002694,0.7194446220837364
FULL_5Y,stage,stage2,DIFF_UNVALIDATED_MINUS_VALIDATED,13,,,,,,,,win_rate_pct,2.0,11.0,-0.9949586013212439,-9.281894594729938,7.235236580288603
FULL_5Y,stage,stage2,DIFF_UNVALIDATED_MINUS_VALIDATED,13,,,,,,,,avg_mae_pct,2.0,11.0,-0.20615385678100484,-0.7095988926841238,0.303756639632203
FULL_5Y,stage,stage2,DIFF_UNVALIDATED_MINUS_VALIDATED,13,,,,,,,,avg_mfe_pct,2.0,11.0,0.5283463797845922,-0.27268273835903245,1.302786738673882
FULL_5Y,stage,stage3,False,76,38197.0,1.7718602744308596,56.38170129946624,-6.643892018748906,9.605765794148109,-81.878475308,"{""breakeven_stop"": 5586, ""sell_omen"": 69, ""stop_loss"": 6046, ""take_profit"": 3263, ""time_out"": 15122, ""trailing"": 8111}",,,,,,
FULL_5Y,stage,stage3,True,4,1679.0,1.8559060384621973,54.42278638463694,-7.410198797368418,10.853527614376432,-46.0333511312,"{""breakeven_stop"": 117, ""stop_loss"": 186, ""take_profit"": 247, ""time_out"": 720, ""trailing"": 409}",,,,,,
FULL_5Y,stage,stage3,DIFF_UNVALIDATED_MINUS_VALIDATED,80,,,,,,,,avg_pnl_pct,4.0,76.0,0.08404576403133768,-0.5501474096999469,0.6275283813114956
FULL_5Y,stage,stage3,DIFF_UNVALIDATED_MINUS_VALIDATED,80,,,,,,,,win_rate_pct,4.0,76.0,-1.9589149148293004,-9.5596974071973,5.706477784568124
FULL_5Y,stage,stage3,DIFF_UNVALIDATED_MINUS_VALIDATED,80,,,,,,,,avg_mae_pct,4.0,76.0,-0.7663067786195121,-2.5703653712700856,1.17832670503469
FULL_5Y,stage,stage3,DIFF_UNVALIDATED_MINUS_VALIDATED,80,,,,,,,,avg_mfe_pct,4.0,76.0,1.2477618202283232,-1.3264038558532574,3.3168146200328237
FULL_5Y,exit_strategy,fixed,False,15,7695.0,1.88529861549991,53.20581647168187,-6.764387780374964,9.788733136722266,-47.6284230727,"{""breakeven_stop"": 735, ""stop_loss"": 2339, ""take_profit"": 1794, ""time_out"": 2827}",,,,,,
FULL_5Y,exit_strategy,fixed,True,2,703.0,1.9147521004205157,56.39024706149014,-5.978338734472058,8.719025671720326,-30.5164347628,"{""breakeven_stop"": 123, ""stop_loss"": 149, ""take_profit"": 191, ""time_out"": 240}",,,,,,
