path,entrypoint_category,direct_active_importer_count,direct_active_importers,literal_resources_referenced
engine/live/approval_manager.py,,2,engine/live/runner.py|engine/live/telegram/bot.py,
engine/live/broker/__init__.py,,0,,
engine/live/broker/alpaca.py,,3,api_server_aftermarket.py|engine/live/broker/factory.py|engine/live/real_dashboard_api.py,.env
engine/live/broker/base.py,,16,engine/central/backtester.py|engine/central/broker_port.py|engine/central/ledger.py|engine/central/sim_broker.py|engine/live/broker/alpaca.py|engine/live/broker/factory.py|engine/live/broker/kis.py|engine/live/broker/market_aware.py|engine/live/broker/paper.py|engine/live/buy_reconciliation.py|engine/live/pending_order_manager.py|engine/live/position_manager.py|engine/live/real_dashboard_api.py|engine/live/runner.py|engine/live/safety/layer.py|engine/live/telegram/bot.py,
engine/live/broker/factory.py,,1,scripts/run_live.py,.env
engine/live/broker/kis.py,,1,engine/live/broker/market_aware.py,.env
engine/live/broker/market_aware.py,,1,engine/live/broker/factory.py,
engine/live/broker/paper.py,,1,engine/live/broker/market_aware.py,
engine/live/buy_reconciliation.py,,2,engine/live/real_dashboard_holding_days_patch.py|engine/live/runner.py,
engine/live/candidate_news_guard.py,,1,engine/live/scheduled_open_buy_queue.py,
engine/live/candidate_only_buy_guard.py,,1,engine/live/live_candidate_display_routes.py,
engine/live/central_control.py,,2,engine/live/scheduled_open_buy_queue.py|scripts/run_live.py,data/_system/central/stage2_b/swap_score_test2/entity_confidence_oos.json|data/_system/central/stage3_live_pool/stage3_live_pool.jsonl|engine/live/broker|exp_batch_stage123_2009_20260616_full
engine/live/chart_exit_dashboard_ui.py,,1,api_server_aftermarket.py,
engine/live/chart_exit_plan.py,,3,engine/live/chart_exit_dashboard_ui.py|engine/live/chart_exit_slot_display.py|engine/live/runner.py,data/_system/chart_exit_plans.json|engine/live
engine/live/chart_exit_slot_display.py,,1,engine/live/chart_exit_dashboard_ui.py,
engine/live/daily_report.py,,1,scripts/run_live.py,engine/live
engine/live/early_exit_profiles.py,,1,api_server.py,
engine/live/elite_entry_concentration.py,,1,engine/live/elite_shadow_trader.py,
engine/live/elite_exit_policy_lab.py,,1,api_server_aftermarket.py,data/_system/elite_exit_policy_lab_state.json|data/_system/elite_exit_policy_lab_trades.jsonl|engine/live
engine/live/elite_pullback_forecast.py,,1,api_server_aftermarket.py,exp_batch_stage123_2009_20260616_full
engine/live/elite_shadow_entry_quality.py,,2,engine/live/elite_shadow_exit_omen.py|engine/live/elite_shadow_trader.py,
engine/live/elite_shadow_exit_omen.py,,3,engine/live/elite_exit_policy_lab.py|engine/live/elite_shadow_peak_exit.py|engine/live/elite_shadow_peak_exit_v4.py,
engine/live/elite_shadow_peak_exit.py,,1,engine/live/elite_shadow_peak_exit_v4.py,
engine/live/elite_shadow_peak_exit_v4.py,,1,engine/live/elite_exit_policy_lab.py,
engine/live/elite_shadow_report.py,live_candidate_generation,7,api_server_aftermarket.py|data/_system/ops/live_candidate_slots.py|engine/live/elite_pullback_forecast.py|engine/live/elite_shadow_trader.py|engine/live/elite_signal_history.py|engine/live/elite_strategy_sim.py|scripts/export_real_dashboard_buy_candidates.py,data/_system/candidate_denylist.json|exp_batch_stage123_2009_20260616_full
engine/live/elite_shadow_trader.py,,10,api_server_aftermarket.py|data/_system/ops/live_candidate_slots.py|engine/live/elite_exit_policy_lab.py|engine/live/elite_pullback_forecast.py|engine/live/elite_shadow_exit_omen.py|engine/live/elite_shadow_peak_exit.py|engine/live/elite_shadow_peak_exit_v4.py|engine/live/elite_signal_history.py|engine/live/elite_strategy_sim.py|scripts/export_real_dashboard_buy_candidates.py,data/_system/elite_shadow_state.json|data/_system/elite_shadow_tick.lock|data/_system/elite_shadow_trades.jsonl|engine/live
engine/live/elite_signal_history.py,,1,engine/live/elite_strategy_sim.py,
engine/live/elite_strategy_sim.py,,2,api_server_aftermarket.py|scripts/run_elite_strategy_sim.py,data/_system/elite_strategy_sim_state.json|data/_system/elite_strategy_sim_tick.lock|data/_system/elite_strategy_sim_trades.jsonl|engine/live
engine/live/exit_policy_adapter.py,,4,engine/live/news_alerts.py|engine/live/position_manager.py|engine/live/runner.py|engine/live/telegram/dashboard.py,data/_system/seed_patterns.json|data/symbols
engine/live/exit_policy_guard.py,,3,engine/live/news_alerts.py|engine/live/position_manager.py|scripts/run_live.py,
engine/live/holding_news_queue.py,,4,api_server.py|engine/live/candidate_news_guard.py|engine/live/news_alerts.py|scripts/run_live.py,engine/live
engine/live/live_candidate_display_routes.py,,1,api_server_candidate_only.py,
engine/live/manual_buy_amount_dashboard_ui.py,,1,engine/live/chart_exit_dashboard_ui.py,
engine/live/manual_buy_intent.py,,6,api_server.py|engine/live/candidate_only_buy_guard.py|engine/live/central_control.py|engine/live/live_candidate_display_routes.py|engine/live/manual_buy_amount_dashboard_ui.py|engine/live/real_dashboard_api.py,engine/live
engine/live/manual_sell_intent.py,,3,api_server.py|engine/live/chart_exit_plan.py|engine/live/runner.py,engine/live
engine/live/market_clock.py,,8,engine/adapters/base.py|engine/live/broker/market_aware.py|engine/live/exit_policy_adapter.py|engine/live/news_alerts.py|engine/live/runner.py|engine/live/scheduler.py|engine/live/universe.py|scripts/run_live.py,
engine/live/news_alerts.py,,4,engine/live/elite_shadow_trader.py|engine/live/exit_policy_adapter.py|engine/live/holding_news_queue.py|engine/live/position_manager.py,
engine/live/news_article_summary.py,,1,api_server.py,engine/live
engine/live/news_translation.py,,2,engine/live/holding_news_queue.py|engine/live/news_article_summary.py,.env
engine/live/pending_order_manager.py,,2,engine/live/real_dashboard_holding_days_patch.py|engine/live/runner.py,data/_system/pending_orders.json
engine/live/position_manager.py,,6,engine/live/central_control.py|engine/live/chart_exit_plan.py|engine/live/daily_report.py|engine/live/manual_sell_intent.py|engine/live/real_dashboard_holding_days_patch.py|engine/live/runner.py,
engine/live/real_dashboard_alpaca_exit_oco_fix.py,,1,api_server_candidate_only.py,
engine/live/real_dashboard_alpaca_exit_orders_patch.py,,2,api_server_candidate_only.py|engine/live/real_dashboard_alpaca_exit_oco_fix.py,data/_system/real_dashboard_alpaca_exit_orders.json
engine/live/real_dashboard_alpaca_exit_orders_visibility_patch.py,,1,api_server_candidate_only.py,
engine/live/real_dashboard_alpaca_history_patch.py,,1,api_server_candidate_only.py,engine/live
