comparison,reference_count,new_block_count,overlap_count,reference_only_count,new_block_only_count,reference_capture_rate_pct,relation
HIGH_VOL_STAGE1_VOLUME_BLIND,3036,3967,476,2560,3491,15.678524374176547,PARALLEL_NOT_SUPERSET
HIGH_VOL_STAGE2_STRICT_NEVER,84,3967,69,15,3898,82.14285714285714,PARALLEL_NOT_SUPERSET
HIGH_VOL_STAGE2_RELAXED_NEVER_OR_RARE,801,3967,476,325,3491,59.425717852684144,PARALLEL_NOT_SUPERSET
CE_FAIL_7,7,3967,1,6,3966,14.285714285714285,PARALLEL_NOT_SUPERSET
NAMED_BOIL_9044,1,3967,0,1,3967,0.0,PARALLEL_NOT_SUPERSET
