scope,cause,candidate_count,scope_total,rate_pct
RELAXED_ADDITIONAL_RARE,THRESHOLD_TOO_HIGH,446,717,62.203626220362615
RELAXED_ADDITIONAL_RARE,NATURALLY_QUIET,271,717,37.79637377963738
STRICT_NEVER,THRESHOLD_TOO_HIGH,84,84,100.0
RELAXED_TOTAL,THRESHOLD_TOO_HIGH,530,801,66.16729088639201
RELAXED_TOTAL,NATURALLY_QUIET,271,801,33.83270911360799
