scope,status,candidate_count,scope_total,rate_pct
ALL,PASS,13104,17071,76.76175970944877
ALL,FAIL,3967,17071,23.238240290551225
stage2,PASS,894,1162,76.93631669535283
stage2,FAIL,268,1162,23.06368330464716
stage3,PASS,12210,15909,76.74900999434283
stage3,FAIL,3699,15909,23.250990005657172
