scope,metric,count,denominator,rate_pct
ALL_ORIGINS,ORIGIN_COUNT,17071,17071,100.0
ALL_ORIGINS,HIGH_VOL_COUNT,3084,17071,18.06572549938492
ALL_ORIGINS,RISK_COUNT,3036,17071,17.784546892390605
ALL_ORIGINS,RISK_WITHIN_HIGH_VOL,3036,3084,98.44357976653697
ALL_ORIGINS,HIGH_VOL_SAFE_WITHOUT_VOLUME_IMPOSSIBLE,48,3084,1.556420233463035
COMPLETE_ORIGINS,ORIGIN_COUNT,3174,3174,100.0
COMPLETE_ORIGINS,HIGH_VOL_COUNT,317,3174,9.987397605545054
COMPLETE_ORIGINS,RISK_COUNT,305,3174,9.60932577189666
COMPLETE_ORIGINS,RISK_WITHIN_HIGH_VOL,305,317,96.21451104100946
COMPLETE_ORIGINS,HIGH_VOL_SAFE_WITHOUT_VOLUME_IMPOSSIBLE,12,317,3.7854889589905363
STAGE2,ORIGIN_COUNT,1162,1162,100.0
STAGE2,HIGH_VOL_COUNT,27,1162,2.323580034423408
STAGE2,RISK_COUNT,24,1162,2.0654044750430294
STAGE2,RISK_WITHIN_HIGH_VOL,24,27,88.88888888888889
STAGE2,HIGH_VOL_SAFE_WITHOUT_VOLUME_IMPOSSIBLE,3,27,11.11111111111111
STAGE3,ORIGIN_COUNT,15909,15909,100.0
STAGE3,HIGH_VOL_COUNT,3057,15909,19.215538374504998
STAGE3,RISK_COUNT,3012,15909,18.932679615312086
STAGE3,RISK_WITHIN_HIGH_VOL,3012,3057,98.5279685966634
STAGE3,HIGH_VOL_SAFE_WITHOUT_VOLUME_IMPOSSIBLE,45,3057,1.4720314033366046
TICKER_CLASSIFICATION,ATR_PROXY_TICKER_MEDIAN,440,531,82.86252354048965
TICKER_CLASSIFICATION,EXACT_FROZEN_IS_STD20_TERCILE,91,531,17.13747645951036
