section,ticker,candidate_id,shares,entry_price,current_price,rulebook_source,rulebook_len,atr,registered_in_positions_json,positions_json_rulebook_len,actual_stop_price,expected_stop_price,actual_target_price,expected_target_price,actual_trailing_stop,expected_trailing_stop,actual_trailing_distance,expected_trailing_distance,actual_max_holding_days,expected_max_holding_days,actual_exit_strategy,expected_exit_strategy,comparison_status,calc_ok,calc_error
CURRENT_HOLDING,ADPT,,4.564126,21.9,21.844999313354492,pending_metadata,88,1.1674503577623427,NO,0,,20.07058388399639,,28.552774776768292,,18.96446449847697,,2.9355355015230282,,11,,hybrid,NOT_REGISTERED_IN_POSITIONS_JSON,True,
CURRENT_HOLDING,ALGT,,1.311074,114.7824,113.7300033569336,pending_metadata,88,6.386689045625623,NO,0,,107.17358206101491,,150.02445758383828,,95.62233286312312,,19.16006713687687,,18,,hybrid,NOT_REGISTERED_IN_POSITIONS_JSON,True,
CURRENT_HOLDING,ANET,,0.162162,184.936,185.047607421875,pending_metadata,88,10.149329321621503,NO,0,,155.19435143136425,,214.6061544421652,,167.68762856081423,,17.24837143918576,,19,,hybrid,NOT_REGISTERED_IN_POSITIONS_JSON,True,
CURRENT_HOLDING,BB,,8.695652,11.4999,11.444999694824219,pending_metadata,88,0.9089119289579112,NO,0,,9.006062975448696,,16.953371573747468,,10.041120512259203,,1.4587794877407962,,18,,fixed,NOT_REGISTERED_IN_POSITIONS_JSON,True,
CURRENT_HOLDING,BCS,,3.663004,27.3167,27.34000015258789,pending_metadata,88,0.6898167819891539,NO,0,,25.2664620131516,,30.32619476501381,,25.486774489774948,,1.8299255102250536,,16,,trailing,NOT_REGISTERED_IN_POSITIONS_JSON,True,
CURRENT_HOLDING,CDE,,6.197707,16.1268,16.100000381469727,pending_metadata,88,1.097870489785203,NO,0,,14.736163242111665,,19.940390108903877,,12.959318105424263,,3.1674818945757375,,11,,trailing,NOT_REGISTERED_IN_POSITIONS_JSON,True,
CANDIDATE_26,ALGT,stage2:ALGT:402f72d48c3c,1.0,113.83999633789062,,canonical_candidate,88,6.386689045625623,N/A,,,91.48658467820094,,149.4980202882931,,107.45330729226501,,6.386689045625623,,11,,hybrid,VALID,True,
CANDIDATE_26,CEF,stage2:CEF:fe84c0ad85d8,1.0,41.359901428222656,,canonical_candidate,88,1.2418993122306907,N/A,,,37.01325383541524,,48.8112973016068,,38.12963480213924,,3.2302666260834143,,12,,trailing,VALID,True,
CANDIDATE_26,CMC,stage2:CMC:4f6ee2739add,1.0,60.93000030517578,,canonical_candidate,88,2.4885311135938415,N/A,,,53.40403473761456,,64.88287532971927,,55.94474695586728,,4.9852533493085005,,17,,hybrid,VALID,True,
CANDIDATE_26,FIX,stage2:FIX:cab7d458767d,1.0,1787.1300048828125,,canonical_candidate,88,111.17349282660318,N/A,,,1451.9406142034954,,1953.8902441227174,,1573.820962332659,,213.3090425501535,,10,,trailing,VALID,True,
CANDIDATE_26,AAP,stage3:AAP:71dcdeb19ec0,1.0,55.17499923706055,,canonical_candidate,88,2.790122331585938,N/A,,,51.65268599923484,,61.93393661921438,,47.75681077693841,,7.418188460122138,,19,,hybrid,VALID,True,
CANDIDATE_26,ACMR,stage3:ACMR:44c1e02681c4,1.0,106.58499908447266,,canonical_candidate,88,9.914664232205148,N/A,,,72.511106063147,,126.77671776497965,,76.84100638785722,,29.743992696615443,,7,,hybrid,VALID,True,
CANDIDATE_26,ADMA,stage3:ADMA:42437a3ee595,1.0,9.194999694824219,,canonical_candidate,88,0.36327608448120496,N/A,,,7.923533399140002,,10.92355410983956,,8.284024679449587,,0.9109750153746325,,8,,trailing,VALID,True,
CANDIDATE_26,ADPT,stage3:ADPT:78c31f1ca209,1.0,21.81999969482422,,canonical_candidate,88,1.1674503577623427,N/A,,,19.990583578820612,,28.472774471592512,,18.88446419330119,,2.9355355015230282,,11,,hybrid,VALID,True,
CANDIDATE_26,AEIS,stage3:AEIS:6e26f08a7c6d,1.0,314.9599914550781,,canonical_candidate,88,23.336506181842093,N/A,,,264.04993489360385,,376.1500522117231,,259.0873739989886,,55.87261745608956,,16,,fixed,VALID,True,
CANDIDATE_26,ALGT,stage3:ALGT:aec5dd5b1dc1,1.0,113.83999633789062,,canonical_candidate,88,6.386689045625623,N/A,,,106.23117839890554,,149.0820539217289,,94.67992920101375,,19.16006713687687,,18,,hybrid,VALID,True,
CANDIDATE_26,ANET,stage3:ANET:fe220620802b,1.0,184.74000549316406,,canonical_candidate,88,10.149329321621503,N/A,,,154.9983569245283,,214.41015993532926,,167.49163405397832,,17.24837143918576,,19,,hybrid,VALID,True,
CANDIDATE_26,ARKW,stage3:ARKW:296c057b4ef7,1.0,148.35000610351562,,canonical_candidate,88,4.461238814546392,N/A,,,132.91475305433616,,161.44197125266294,,134.9830606252837,,13.366945478231914,,24,,trailing,VALID,True,
CANDIDATE_26,BB,stage3:BB:f1bdfe7f8ad9,1.0,11.47719955444336,,canonical_candidate,88,0.9089119289579112,N/A,,,8.983362529892055,,16.930671128190827,,10.018420066702562,,1.4587794877407962,,18,,fixed,VALID,True,
CANDIDATE_26,BCS,stage3:BCS:5e7da5a74b01,1.0,27.31999969482422,,canonical_candidate,88,0.6898167819891539,N/A,,,25.269761707975817,,30.329494459838028,,25.490074184599166,,1.8299255102250536,,16,,trailing,VALID,True,
CANDIDATE_26,BKSY,stage3:BKSY:f1bcc8efea02,1.0,25.350000381469727,,canonical_candidate,88,3.065319401516491,N/A,,,20.864534940469458,,43.74191679056867,,17.013583396964925,,8.336416984504803,,10,,fixed,VALID,True,
CANDIDATE_26,BMA,stage3:BMA:0c978464f9dd,1.0,89.7750015258789,,canonical_candidate,88,4.56109647340232,N/A,,,74.2396797800113,,110.00790743719925,,80.03404174133922,,9.740959784539678,,24,,trailing,VALID,True,
CANDIDATE_26,BMI,stage3:BMI:07d4ee0f7841,1.0,146.0800018310547,,canonical_candidate,88,5.3530176350470295,N/A,,,127.44381664051744,,164.00608506754332,,134.9750821219567,,11.104919709097997,,18,,trailing,VALID,True,
CANDIDATE_26,BOIL,stage3:BOIL:9044dc2c67a3,1.0,23.524999618530273,,canonical_candidate,88,1.531586375382484,N/A,,,21.029279949004387,,26.908000377251028,,19.21247611427434,,4.312523504255932,,13,,hybrid,VALID,True,
CANDIDATE_26,BTBT,stage3:BTBT:363898884d44,1.0,1.690000057220459,,canonical_candidate,88,0.1801082004378081,N/A,,,1.3824992559210818,,2.770649259847308,,1.1496754559070346,,0.5403246013134243,,17,,hybrid,VALID,True,
CANDIDATE_26,BWXT,stage3:BWXT:f195725cb792,1.0,188.6999969482422,,canonical_candidate,88,8.182730602538093,N/A,,,169.01685669382886,,225.32905352508436,,165.55719035151657,,23.14280659672563,,19,,trailing,VALID,True,
CANDIDATE_26,CAPR,stage3:CAPR:a51d615a0ff1,1.0,22.059999465942383,,canonical_candidate,88,1.770522039414631,N/A,,,15.863172327991174,,28.066971008051034,,17.320916562021182,,4.739082903921199,,8,,hybrid,VALID,True,
CANDIDATE_26,CBRL,stage3:CBRL:677767a0b6a9,1.0,49.53499984741211,,canonical_candidate,88,2.742368045953899,N/A,,,44.696227718497326,,62.95748461865393,,44.290632662747704,,5.244367184664402,,17,,fixed,VALID,True,
CANDIDATE_26,CDE,stage3:CDE:ceb9fe0512dc,1.0,16.145000457763672,,canonical_candidate,88,1.097870489785203,N/A,,,14.754363699875338,,19.95859056666755,,12.977518563187935,,3.1674818945757375,,11,,trailing,VALID,True,
CANDIDATE_26,CE,stage3:CE:998b0b638c66,1.0,46.540000915527344,,canonical_candidate,88,2.2478600659746704,N/A,,,39.91130822432966,,56.93563512196658,,40.84879921519325,,5.691201700334091,,10,,hybrid,VALID,True,
CANDIDATE_26,CIEN,stage3:CIEN:2ed675d30868,1.0,467.5150146484375,,canonical_candidate,88,34.755823572208165,N/A,,,348.39949176831414,,586.6278603260262,,383.33917544081544,,84.17583920762209,,20,,trailing,VALID,True,
CANDIDATE_26,CRS,stage3:CRS:8695c9ce3320,1.0,601.1849975585938,,canonical_candidate,88,23.387070024602597,N/A,,,526.2111355292828,,710.607843066562,,545.2135778593713,,55.97141969922249,,23,,trailing,VALID,True
