rank,ticker,candidate_id,stage,live_final_score,classification,direct_buy_ready_now,fixable,cause,in_regular_candidate_file,regular_rulebook_len,regular_selected_rulebook_len,regular_atr,regular_errors,source_file,source_file_exists,source_rulebook_len,source_rulebook_complete,source_errors,rulebook_hash
17,CIEN,stage3:CIEN:2ed675d30868,stage3,3.2229029879499613,RULEBOOK_MISSING,NO,FIXABLE_BY_RELOAD,정규 후보 파일 미포함/compact fallback만 존재; 원본 full rulebook은 완전,False,0,0,,not_in_real_dashboard_buy_candidates_json,exp_batch_stage123_2009_20260616_full/tickers/CIEN/stage3/final_rulebooks.jsonl,True,88,True,,2ed675d3086809a326ab0ae902db5a6ea98807940c8612845ee1a415e9ec8c38
18,BWXT,stage3:BWXT:f195725cb792,stage3,3.1939714648510584,RULEBOOK_MISSING,NO,FIXABLE_BY_RELOAD,정규 후보 파일 미포함/compact fallback만 존재; 원본 full rulebook은 완전,False,0,0,,not_in_real_dashboard_buy_candidates_json,exp_batch_stage123_2009_20260616_full/tickers/BWXT/stage3/final_rulebooks.jsonl,True,88,True,,f195725cb7925ddb6c3a16f434d12b72d87831a9f2c3f2a4bff2b9e8ab4301c6
19,CEF,stage2:CEF:fe84c0ad85d8,stage2,3.173710204354388,RULEBOOK_MISSING,NO,FIXABLE_BY_RELOAD,정규 후보 파일 미포함/compact fallback만 존재; 원본 full rulebook은 완전,False,0,0,,not_in_real_dashboard_buy_candidates_json,tickers/CEF/stage2/survivors.jsonl,True,88,True,,fe84c0ad85d8233c7d703bf47c1de53e45d0b63b95736248b0fb6c97d06a46ca
20,ARKW,stage3:ARKW:296c057b4ef7,stage3,3.156659235528693,RULEBOOK_MISSING,NO,FIXABLE_BY_RELOAD,정규 후보 파일 미포함/compact fallback만 존재; 원본 full rulebook은 완전,False,0,0,,not_in_real_dashboard_buy_candidates_json,exp_batch_stage123_2009_20260616_full/tickers/ARKW/stage3/final_rulebooks.jsonl,True,88,True,,296c057b4ef7c871885ce2ca488d5cca885669a1f7491153ed7169ce7748cebf
21,ALGT,stage2:ALGT:402f72d48c3c,stage2,3.099850083523211,RULEBOOK_COMPLETE,YES,ALREADY_ORDERABLE,정규 후보 파일에 full selected_rulebook/rulebook/atr 존재,True,88,88,6.386689045625623,,tickers/ALGT/stage2/survivors.jsonl,True,88,True,,402f72d48c3cd87bae620e2c2c803420787f9ba6b893612d67f754c55a1b14bd
22,CRS,stage3:CRS:8695c9ce3320,stage3,2.971797614887265,RULEBOOK_MISSING,NO,FIXABLE_BY_RELOAD,정규 후보 파일 미포함/compact fallback만 존재; 원본 full rulebook은 완전,False,0,0,,not_in_real_dashboard_buy_candidates_json,exp_batch_stage123_2009_20260616_full/tickers/CRS/stage3/final_rulebooks.jsonl,True,88,True,,8695c9ce33203c60489bdd4a2671bf68221da19a6896816778e738f10fcfa0c3
23,CBRL,stage3:CBRL:677767a0b6a9,stage3,2.8337637700798366,RULEBOOK_MISSING,NO,FIXABLE_BY_RELOAD,정규 후보 파일 미포함/compact fallback만 존재; 원본 full rulebook은 완전,False,0,0,,not_in_real_dashboard_buy_candidates_json,exp_batch_stage123_2009_20260616_full/tickers/CBRL/stage3/final_rulebooks.jsonl,True,88,True,,677767a0b6a962955fe6eaf6dc49cd401b1bf22ac205c310bfe62ff4a8910910
24,BOIL,stage3:BOIL:9044dc2c67a3,stage3,2.738598351049197,RULEBOOK_MISSING,NO,FIXABLE_BY_RELOAD,정규 후보 파일 미포함/compact fallback만 존재; 원본 full rulebook은 완전,False,0,0,,not_in_real_dashboard_buy_candidates_json,exp_batch_stage123_2009_20260616_full/tickers/BOIL/stage3/final_rulebooks.jsonl,True,88,True,,9044dc2c67a3d3bc0c5d93cece5f266c162c4f0ecf3ed5bc8ded1edbafb4bd67
25,CE,stage3:CE:998b0b638c66,stage3,2.67876715278174,RULEBOOK_COMPLETE,YES,ALREADY_ORDERABLE,정규 후보 파일에 full selected_rulebook/rulebook/atr 존재,True,88,88,2.2478600659746704,,exp_batch_stage123_2009_20260616_full/tickers/CE/stage3/final_rulebooks.jsonl,True,88,True,,998b0b638c6649fe10d3dff0fc74f890d9891ef9caa7ed61a2bae1e340288b78
26,AEIS,stage3:AEIS:6e26f08a7c6d,stage3,2.445473023580007,RULEBOOK_MISSING,NO,FIXABLE_BY_RELOAD,정규 후보 파일 미포함/compact fallback만 존재; 원본 full rulebook은 완전,False,0,0,,not_in_real_dashboard_buy_candidates_json,exp_batch_stage123_2009_20260616_full/tickers/AEIS/stage3/final_rulebooks.jsonl,True,88,True,,6e26f08a7c6dd52523d5d7a25ad6e1aede788a208de46e89b0b4b4c0c1ba4d04
