all_passed_count,candidate_id,extreme_value_concentration_flag,oos_precision,pooled_passed_count,scope,stress_precision,survivor,survivor_entity_count,ticker,ticker_concentration_flag,ticker_hhi,top3_positive_return_share,top_ticker_passed_share,train_oos_precision_gap,train_precision,train_stress_precision_gap
16,stage3:CBRE:30fdb7f6db1e,False,0.0,,ENTITY,0.0,False,,CBRE,,,0.46522076807983176,,0.36363636363636365,0.36363636363636365,0.36363636363636365
26,stage3:CBRL:677767a0b6a9,False,0.5,,ENTITY,0.45454545454545453,False,,CBRL,,,0.2665992067642329,,0.2777777777777778,0.7777777777777778,0.32323232323232326
20,stage3:CC:520ee91feeea,False,0.8,,ENTITY,0.6,False,,CC,,,0.40458664413481654,,0.0,0.8,0.20000000000000007
15,stage3:CIEN:2ed675d30868,False,0.0,,ENTITY,0.0,False,,CIEN,,,0.4738061768541039,,0.5,0.5,0.5
20,stage3:CIGI:2067519c6762,False,0.16666666666666666,,ENTITY,0.4,False,,CIGI,,,0.34379326268050375,,0.16666666666666666,0.3333333333333333,-0.06666666666666671
14,stage3:CLDX:99264f63b69d,False,1.0,,ENTITY,0.5,False,,CLDX,,,0.3964633501100155,,-0.125,0.875,0.375
15,stage3:CLF:869ed9e90afb,False,1.0,,ENTITY,0.6,False,,CLF,,,0.3608439101176918,,-0.625,0.375,-0.22499999999999998
12,stage3:COHR:10ef1bf6b0d1,False,0.6666666666666666,,ENTITY,1.0,False,,COHR,,,0.4564385977106268,,0.20833333333333337,0.875,-0.125
11,stage3:CRS:8695c9ce3320,False,0.0,,ENTITY,0.3333333333333333,False,,CRS,,,0.5916288007442538,,0.5,0.5,0.16666666666666669
11,stage3:CSIQ:030ce2015af8,True,0.0,,ENTITY,0.6666666666666666,False,,CSIQ,,,0.627069275601967,,0.625,0.625,-0.04166666666666663
38,stage3:CVNA:8d8594e95b89,False,0.5454545454545454,,ENTITY,0.4,False,,CVNA,,,0.32078866763700936,,0.4545454545454546,1.0,0.6
18,stage3:CW:81ce9154b422,False,0.3333333333333333,,ENTITY,0.3333333333333333,False,,CW,,,0.4050682165408328,,-0.3333333333333333,0.0,-0.3333333333333333
23,stage3:DB:3fddd15661db,False,0.3333333333333333,,ENTITY,0.2857142857142857,False,,DB,,,0.3806973713896597,,0.06666666666666671,0.4,0.11428571428571432
22,stage3:DBRG:5eba9682ac09,False,0.0,,ENTITY,0.3333333333333333,False,,DBRG,,,0.41528387648418597,,0.875,0.875,0.5416666666666667
31,stage3:DDOG:6c41f43018cf,False,0.1,,ENTITY,0.5555555555555556,False,,DDOG,,,0.24627236265618072,,0.9,1.0,0.4444444444444444
14,stage3:DELL:47ee59ff823b,True,0.0,,ENTITY,0.0,False,,DELL,,,0.7113695060700692,,0.7777777777777778,0.7777777777777778,0.7777777777777778
20,stage3:DHI:3d6a4f6f0b99,False,0.375,,ENTITY,0.25,False,,DHI,,,0.43973645178869036,,0.5,0.875,0.625
21,stage3:DLTR:9f4d686fbc80,False,0.2,,ENTITY,0.125,False,,DLTR,,,0.35613862652526546,,0.175,0.375,0.25
,,,,37,SURVIVOR_POOL,,True,2,,True,0.5032870708546384,,0.5405405405405406,,,
