date,scenario,equity,active_count,accepted_today,skipped_today,daily_return
2025-01-02,EQ_ignored_all_signals,1.00616288712,20,20,13,0
2025-01-03,EQ_ignored_all_signals,1.03904302462,20,0,37,0.0326787420994
2025-01-06,EQ_ignored_all_signals,1.06157035034,20,1,30,0.0216808401468
2025-01-07,EQ_ignored_all_signals,1.04301216781,20,1,29,-0.0174818207071
2025-01-08,EQ_ignored_all_signals,1.03551396814,20,2,32,-0.00718898580609
2025-01-10,EQ_ignored_all_signals,1.02509324278,20,3,33,-0.0100633363581
2025-01-13,EQ_ignored_all_signals,1.01653119848,20,3,26,-0.00835245414008
2025-01-14,EQ_ignored_all_signals,1.04033336219,20,1,35,0.0234150843052
2025-01-15,EQ_ignored_all_signals,1.06410526683,20,1,27,0.0228502761728
2025-01-16,EQ_ignored_all_signals,1.05748177779,20,1,25,-0.00622446786096
2025-01-17,EQ_ignored_all_signals,1.06502624504,20,0,22,0.0071343709222
2025-01-21,EQ_ignored_all_signals,1.09763323733,20,0,25,0.0306161396893
2025-01-22,EQ_ignored_all_signals,1.0997717318,20,1,17,0.00194827780247
2025-01-23,EQ_ignored_all_signals,1.09377748068,20,1,18,-0.00545045025956
2025-01-24,EQ_ignored_all_signals,1.10446030446,20,3,13,0.00976690777801
2025-01-27,EQ_ignored_all_signals,1.07488983613,20,2,17,-0.0267736814176
2025-01-28,EQ_ignored_all_signals,1.07507965826,20,3,31,0.000176596820918
2025-01-29,EQ_ignored_all_signals,1.07368544863,20,1,26,-0.00129684309236
2025-01-30,EQ_ignored_all_signals,1.08886310597,20,1,23,0.0141360371051
2025-01-31,EQ_ignored_all_signals,1.10104672709,20,2,15,0.0111893047404
2025-02-03,EQ_ignored_all_signals,1.06978570998,20,0,25,-0.0283920893995
2025-02-04,EQ_ignored_all_signals,1.10993854442,20,6,21,0.0375335303812
2025-02-05,EQ_ignored_all_signals,1.10958564577,20,0,22,-0.000317944315159
2025-02-06,EQ_ignored_all_signals,1.0949450941,20,3,18,-0.0131946116349
2025-02-07,EQ_ignored_all_signals,1.07891596934,20,0,27,-0.0146392041472
2025-02-10,EQ_ignored_all_signals,1.08540368569,20,2,24,0.00601318038734
2025-02-11,EQ_ignored_all_signals,1.06811063521,20,2,26,-0.0159323675618
2025-02-12,EQ_ignored_all_signals,1.06256218331,20,1,32,-0.00519464156966
2025-02-13,EQ_ignored_all_signals,1.07376004065,20,3,31,0.0105385430799
2025-02-14,EQ_ignored_all_signals,1.09157456859,20,0,26,0.0165907905511
2025-02-18,EQ_ignored_all_signals,1.10544025875,20,0,26,0.0127024672126
2025-02-19,EQ_ignored_all_signals,1.09446317231,20,1,25,-0.00993005850947
2025-02-20,EQ_ignored_all_signals,1.07152044113,20,0,24,-0.0209625428789
2025-02-21,EQ_ignored_all_signals,1.03530945915,20,5,19,-0.0337940188424
2025-02-24,EQ_ignored_all_signals,1.01634456209,20,1,26,-0.0183180950341
2025-02-25,EQ_ignored_all_signals,1.01348237546,20,3,22,-0.00281615776305
2025-02-26,EQ_ignored_all_signals,1.02706215049,20,4,22,0.0133991230234
2025-02-27,EQ_ignored_all_signals,1.01344461198,20,1,19,-0.0132587287917
2025-02-28,EQ_ignored_all_signals,1.01822142853,20,1,22,0.00471344608778
2025-03-03,EQ_ignored_all_signals,1.04576176748,20,0,19,0.0270474949568
2025-03-04,EQ_ignored_all_signals,1.04019659254,20,5,19,-0.00532164696297
2025-03-05,EQ_ignored_all_signals,1.06800891817,20,0,22,0.0267375665571
2025-03-06,EQ_ignored_all_signals,1.03357702463,20,1,20,-0.0322393314856
2025-03-07,EQ_ignored_all_signals,1.03336173767,20,1,23,-0.000208293092685
2025-03-10,EQ_ignored_all_signals,0.99625769351,20,3,40,-0.0359061525217
2025-03-11,EQ_ignored_all_signals,1.00512670827,20,0,38,0.00890233000967
2025-03-12,EQ_ignored_all_signals,1.02016396298,20,1,62,0.0149605563005
2025-03-13,EQ_ignored_all_signals,1.00438554848,20,2,54,-0.0154665476074
2025-03-14,EQ_ignored_all_signals,1.02566936247,20,2,59,0.0211908803527
2025-03-17,EQ_ignored_all_signals,1.04776321594,20,0,59,0.0215409119993
2025-03-18,EQ_ignored_all_signals,1.0380452298,20,2,44,-0.00927498312269
2025-03-19,EQ_ignored_all_signals,1.05144338405,20,3,36,0.0129071006372
2025-03-20,EQ_ignored_all_signals,1.04926372554,20,2,48,-0.00207301557177
2025-03-21,EQ_ignored_all_signals,1.04485426769,20,2,18,-0.004202430466
2025-03-24,EQ_ignored_all_signals,1.04661616133,20,2,22,0.00168625778279
2025-03-25,EQ_ignored_all_signals,1.03601557398,20,1,16,-0.0101284384293
2025-03-26,EQ_ignored_all_signals,1.02032958928,20,2,7,-0.0151406842691
2025-03-27,EQ_ignored_all_signals,1.00624462373,20,2,12,-0.0138043292068
2025-03-28,EQ_ignored_all_signals,0.982530028154,20,1,14,-0.0235674258681
2025-03-31,EQ_ignored_all_signals,0.984302475577,20,3,11,0.00180396259897
2025-04-01,EQ_ignored_all_signals,0.988830323215,20,0,22,0.00460005714767
2025-04-02,EQ_ignored_all_signals,1.0044184625,20,0,12,0.0157642205319
2025-04-03,EQ_ignored_all_signals,0.954338928248,20,0,11,-0.0498592330993
2025-04-04,EQ_ignored_all_signals,0.866166621793,20,2,22,-0.0923909775089
2025-04-07,EQ_ignored_all_signals,0.890454068364,20,11,58,0.028040155278
2025-04-08,EQ_ignored_all_signals,0.879851753291,20,2,66,-0.0119066389275
2025-04-09,EQ_ignored_all_signals,0.976760956611,20,2,66,0.110142649552
2025-04-10,EQ_ignored_all_signals,0.94153138054,20,2,64,-0.0360677562227
2025-04-11,EQ_ignored_all_signals,0.980298682444,20,2,58,0.041174731618
2025-04-14,EQ_ignored_all_signals,0.998869082498,20,1,64,0.0189436142136
2025-04-15,EQ_ignored_all_signals,0.998730207269,20,2,58,-0.000139032463231
2025-04-16,EQ_ignored_all_signals,1.02240335773,20,0,58,0.0237032486701
2025-04-17,EQ_ignored_all_signals,1.03148806014,20,2,60,0.00888563437164
2025-04-21,EQ_ignored_all_signals,0.989350948264,20,1,63,-0.0408507994493
2025-04-22,EQ_ignored_all_signals,1.02852020734,20,3,58,0.0395908642326
2025-04-23,EQ_ignored_all_signals,1.05254786761,20,0,69,0.0233613886238
2025-04-24,EQ_ignored_all_signals,1.10252523837,20,4,64,0.047482278289
2025-04-25,EQ_ignored_all_signals,1.09609933747,20,1,60,-0.00582834811808
2025-04-28,EQ_ignored_all_signals,1.09569320134,20,0,58,-0.000370528577268
2025-04-29,EQ_ignored_all_signals,1.10980618972,20,1,53,0.0128804197766
2025-04-30,EQ_ignored_all_signals,1.09044509067,20,1,53,-0.0174454776294
2025-05-01,EQ_ignored_all_signals,1.10613039288,20,2,49,0.0143843118302
2025-05-02,EQ_ignored_all_signals,1.12176691707,20,3,51,0.0141362395313
2025-05-05,EQ_ignored_all_signals,1.12516007168,20,0,50,0.00302483034111
2025-05-06,EQ_ignored_all_signals,1.14002722548,20,2,42,0.0132133677484
2025-05-07,EQ_ignored_all_signals,1.12868814922,20,2,55,-0.00994632058102
2025-05-08,EQ_ignored_all_signals,1.17909830559,20,0,59,0.0446626080017
2025-05-09,EQ_ignored_all_signals,1.19482562655,20,5,52,0.0133384306323
2025-05-12,EQ_ignored_all_signals,1.25700320172,20,1,51,0.0520390371582
2025-05-13,EQ_ignored_all_signals,1.32640791858,20,1,38,0.0552144312459
