path,original_sha256,copy_sha256,match
scripts/research/run_stage2.py,9a83b1490b669176fbfdd50d6ce48c1fbdfdd9fa1c6525d91ed83af82c70165c,9a83b1490b669176fbfdd50d6ce48c1fbdfdd9fa1c6525d91ed83af82c70165c,true
scripts/research/run_stage3_aggressive.py,8f275ca52745b6b9f92d56e0e24d8043ccef8644b5c5d996217b9c6226e701c0,8f275ca52745b6b9f92d56e0e24d8043ccef8644b5c5d996217b9c6226e701c0,true
scripts/research/run_stage3_aggressive.py.bak.before_qualify_eval_early_stop_20260706_001,bc3e191a449d6b67980dd0884a2a510acf9ecda719a8b12e76b0e8178de33004,bc3e191a449d6b67980dd0884a2a510acf9ecda719a8b12e76b0e8178de33004,true
scripts/research/run_stage23_batch.py,2718a3e12eb8eea71011543efa41d435850402aeaa70c5517d5eded9761a00e3,2718a3e12eb8eea71011543efa41d435850402aeaa70c5517d5eded9761a00e3,true
engine/strategies/rulebook.py,c7b2892f410cd1b25b8090fe26b2b6daaa0aa4bfeaa28555cf4c8b6d12cb15dc,c7b2892f410cd1b25b8090fe26b2b6daaa0aa4bfeaa28555cf4c8b6d12cb15dc,true
engine/strategies/evaluator.py,d7ce157564c3311d95ba73de79f41dfad3d7d1134727dd8a5fa776487cd83584,d7ce157564c3311d95ba73de79f41dfad3d7d1134727dd8a5fa776487cd83584,true
engine/learning/genetic.py,89611d799fdca69d7a8e149898f5652f7e4ef5d020349f567919a548bf4361ad,89611d799fdca69d7a8e149898f5652f7e4ef5d020349f567919a548bf4361ad,true
engine/learning/execution_mode_backtest.py,efd0a9edea250efaa6b70163bd5d44b5695098be74c485b0cb78643a559bcae0,efd0a9edea250efaa6b70163bd5d44b5695098be74c485b0cb78643a559bcae0,true
engine/pipeline/stage2_gate.py,b3018f9323fb7f0194990ce726979841b9db5c5a852711dac3fb7a1d3357f15a,b3018f9323fb7f0194990ce726979841b9db5c5a852711dac3fb7a1d3357f15a,true
engine/pipeline/stage3_gate.py,6447efa706edfe9c31c92e652ca504da1c8f16215d79f0eee3352f37520fc36a,6447efa706edfe9c31c92e652ca504da1c8f16215d79f0eee3352f37520fc36a,true
engine/pipeline/context.py,33740d9032eb838716070b603d39b13fb87e6e883f7ec46583b16038ec34d74d,33740d9032eb838716070b603d39b13fb87e6e883f7ec46583b16038ec34d74d,true
engine/pipeline/exit_gene.py,79a2d8d22557defd6692af917707febb9472fb8e4e8eb0fb820b285c317d9073,79a2d8d22557defd6692af917707febb9472fb8e4e8eb0fb820b285c317d9073,true
engine/pipeline/topn_survivor.py,d457da84972078087dceec6260dad66273229bfb657c152a9725f6fb07cbc306,d457da84972078087dceec6260dad66273229bfb657c152a9725f6fb07cbc306,true
engine/core/metadata.py,f0ffacab85253eec7d73e45cf6bcdc195d2c2741e393a2cc77f319d826ccfcbf,f0ffacab85253eec7d73e45cf6bcdc195d2c2741e393a2cc77f319d826ccfcbf,true
engine/learning/fitness_cache.py,a759913bd67a4985356b30f1b3ccc2baadd44a0f3aa2a3efb2a26eab0b888c41,a759913bd67a4985356b30f1b3ccc2baadd44a0f3aa2a3efb2a26eab0b888c41,true
