label,definition,ticker_count,common_rows_total,positive_rate_mean,positive_rate_variance_population,positive_rate_std_population,positive_rate_cv,positive_rate_min,positive_rate_max,positive_rate_range,positive_rate_p10,positive_rate_p90,positive_rate_iqr
L0_FIXED_3PCT,"max(High[D+1],High[D+2]) >= Open[D0]*1.03",50,75000,0.45192,0.011249931377777777,0.10606569368923101,0.2347001542070079,0.146,0.6106666666666667,0.4646666666666667,0.29993333333333333,0.5724666666666667,0.14100000000000007
L1_ATR14_1_5X,"max(High[D+1],High[D+2]) >= Open[D0] + 1.5*ATR14[D-1]",50,75000,0.19217333333333333,0.00024303662222222223,0.015589631882190876,0.08112276355819854,0.158,0.22066666666666668,0.06266666666666668,0.17133333333333334,0.21273333333333333,0.02350000000000002
L2_RV20_1_0X_2D,"max(High[D+1],High[D+2]) >= Open[D0]*(1+sqrt(2)*RV20_pct[D-1]/100)",50,75000,0.3586133333333333,0.0004356238222222224,0.020871603249923622,0.05820085677216954,0.30133333333333334,0.4166666666666667,0.11533333333333334,0.33513333333333334,0.38206666666666667,0.02350000000000002
