coverage,mode,passed_count,passed_positive_count,positive_count,precision,precision_lift_pp,regime,signal_count,survivor_entity_count
1.0,baseline,148,86,86,0.581081081081081,0.0,stress,148,1
0.1554054054054054,filtered,23,18,86,0.782608695652174,20.152761457109293,stress,148,1
1.0,baseline,317,203,203,0.6403785488958991,0.0,train,317,1
0.14826498422712933,filtered,47,37,203,0.7872340425531915,14.685549365729244,train,317,1
1.0,baseline,106,75,75,0.7075471698113207,0.0,oos,106,1
0.16037735849056603,filtered,17,15,75,0.8823529411764706,17.480577136514984,oos,106,1
