candidate_id,mean_forward_max_return_pct,mean_replay_strength,median_forward_max_return_pct,positive_count,positive_rate,regime,scope,signal_count,ticker
,3.1164857715080374,1.2939102576702521,2.133625863415256,1822,0.36845298281092015,stress,ALL,4945,
,3.316635707284929,1.3047257353074115,2.1755108855550764,3856,0.3747691709592769,train,ALL,10289,
,4.288284509797305,1.2991234743878153,2.84155760727981,1441,0.48161764705882354,oos,ALL,2992,
,3.421838811899233,1.3008716531397833,2.2591459735782804,7119,0.39059585207944697,all,ALL,18226,
stage2:ALGT:402f72d48c3c,2.751958340758616,1.1845223877226358,2.406490321944088,35,0.40229885057471265,stress,ENTITY,87,ALGT
stage2:ALGT:402f72d48c3c,3.2798295626655523,1.1736760304029072,2.325579387995025,58,0.3945578231292517,train,ENTITY,147,ALGT
stage2:ALGT:402f72d48c3c,5.496765432428028,1.2066505637034979,4.280347266101215,28,0.6363636363636364,oos,ENTITY,44,ALGT
stage2:ALGT:402f72d48c3c,3.46551438987291,1.1822893849066567,2.5420921955111697,121,0.4352517985611511,all,ENTITY,278,ALGT
stage2:CAT:a752666ee858,1.8895950514144642,1.1783275029832696,1.544037651982788,11,0.1864406779661017,stress,ENTITY,59,CAT
stage2:CAT:a752666ee858,1.3955966670437627,1.188192400337488,1.0853821145175635,10,0.1282051282051282,train,ENTITY,78,CAT
stage2:CAT:a752666ee858,2.7316563710833615,1.1796791141606615,2.2532412043825834,14,0.4375,oos,ENTITY,32,CAT
stage2:CAT:a752666ee858,1.8210393605771271,1.1831364589081543,1.516967740625108,35,0.20710059171597633,all,ENTITY,169,CAT
stage2:CEF:fe84c0ad85d8,1.1735275590600025,1.2263738919959994,0.9852781225214935,14,0.09090909090909091,stress,ENTITY,154,CEF
stage2:CEF:fe84c0ad85d8,1.2521133189120717,1.2371755022581377,1.1166153130033551,29,0.09698996655518395,train,ENTITY,299,CEF
stage2:CEF:fe84c0ad85d8,1.6903274099068721,1.3029485967270384,1.1575520854894439,13,0.20634920634920634,oos,ENTITY,63,CEF
stage2:CEF:fe84c0ad85d8,1.282162312546672,1.2419822018146713,1.08438979335993,56,0.10852713178294573,all,ENTITY,516,CEF
stage2:CMC:4f6ee2739add,3.0571623803925014,1.1764265060455088,3.202840976453869,43,0.5308641975308642,stress,ENTITY,81,CMC
stage2:CMC:4f6ee2739add,2.118928072222918,1.207743417848053,1.5894255016377867,36,0.2482758620689655,train,ENTITY,145,CMC
stage2:CMC:4f6ee2739add,2.643166222671146,1.2668106983006284,2.1957130954586512,26,0.4126984126984127,oos,ENTITY,63,CMC
stage2:CMC:4f6ee2739add,2.4961736862020687,1.2118422718705657,2.1415706714795757,105,0.3633217993079585,all,ENTITY,289,CMC
stage2:FIX:cab7d458767d,2.451854970191098,1.2407115022262096,2.000398828253691,48,0.3333333333333333,stress,ENTITY,144,FIX
stage2:FIX:cab7d458767d,2.641173724837408,1.1968505397922196,2.054637906278778,98,0.3072100313479624,train,ENTITY,319,FIX
stage2:FIX:cab7d458767d,5.369573825799676,1.3868248884873178,3.754869837862973,35,0.660377358490566,oos,ENTITY,53,FIX
stage2:FIX:cab7d458767d,2.86858323003495,1.2286036775273645,2.248920738068816,181,0.3507751937984496,all,ENTITY,516,FIX
stage2:MPC:8107accddd2c,2.8822992744424414,1.1636518365137842,2.55663729864124,14,0.45161290322580644,stress,ENTITY,31,MPC
stage2:MPC:8107accddd2c,2.181843424952648,1.182803011835563,1.7918321251783498,17,0.2786885245901639,train,ENTITY,61,MPC
stage2:MPC:8107accddd2c,3.0661512104140574,1.1324491686679765,2.1306457342193497,8,0.32,oos,ENTITY,25,MPC
stage2:MPC:8107accddd2c,2.5563889460699025,1.1669694006033853,2.0701270764224233,39,0.3333333333333333,all,ENTITY,117,MPC
stage2:PLXS:c33a9dcf246c,2.1189072884687694,1.2466150718466147,1.699058099412487,39,0.2727272727272727,stress,ENTITY,143,PLXS
stage2:PLXS:c33a9dcf246c,1.9036818172004377,1.2044093137583136,1.575576982804816,62,0.19935691318327975,train,ENTITY,311,PLXS
