all_passed_count,candidate_id,extreme_value_concentration_flag,oos_precision,pooled_passed_count,scope,stress_precision,survivor,survivor_entity_count,ticker,ticker_concentration_flag,ticker_hhi,top3_positive_return_share,top_ticker_passed_share,train_oos_precision_gap,train_precision,train_stress_precision_gap
39,stage2:ALGT:402f72d48c3c,False,0.8333333333333334,,ENTITY,0.35714285714285715,False,,ALGT,,,0.21966253299099622,,-0.04385964912280704,0.7894736842105263,0.4323308270676692
24,stage2:CAT:a752666ee858,False,0.4,,ENTITY,0.125,False,,CAT,,,0.29524809528412604,,0.05454545454545451,0.45454545454545453,0.32954545454545453
62,stage2:CEF:fe84c0ad85d8,False,0.14285714285714285,,ENTITY,0.1111111111111111,False,,CEF,,,0.1387962995771735,,0.15444015444015446,0.2972972972972973,0.1861861861861862
27,stage2:CMC:4f6ee2739add,False,0.5,,ENTITY,0.6,False,,CMC,,,0.3673735670645226,,0.05555555555555558,0.5555555555555556,-0.0444444444444444
71,stage2:FIX:cab7d458767d,False,1.0,,ENTITY,0.3,False,,FIX,,,0.14461619853996055,,-0.48888888888888893,0.5111111111111111,0.21111111111111108
18,stage2:MPC:8107accddd2c,False,0.4,,ENTITY,0.4,False,,MPC,,,0.33070544124384754,,0.35,0.75,0.35
63,stage2:PLXS:c33a9dcf246c,False,0.6666666666666666,,ENTITY,0.2,False,,PLXS,,,0.15379415245674843,,-0.29166666666666663,0.375,0.175
13,stage2:POWI:6c2e3e5c874b,False,0.0,,ENTITY,0.0,False,,POWI,,,0.49046452667293194,,0.8181818181818182,0.8181818181818182,0.8181818181818182
30,stage3:AAOI:5fa4b9dea9eb,False,1.0,,ENTITY,0.38461538461538464,False,,AAOI,,,0.38931746728112376,,0.0,1.0,0.6153846153846154
79,stage3:ACMR:44c1e02681c4,False,0.6,,ENTITY,0.4,False,,ACMR,,,0.10827367967790825,,0.10370370370370374,0.7037037037037037,0.3037037037037037
55,stage3:ADMA:42437a3ee595,False,0.16666666666666666,,ENTITY,0.42857142857142855,False,,ADMA,,,0.1784536390064494,,0.5714285714285715,0.7380952380952381,0.3095238095238096
35,stage3:ADPT:78c31f1ca209,False,0.6,,ENTITY,0.5555555555555556,False,,ADPT,,,0.19288423608835528,,0.4,1.0,0.4444444444444444
99,stage3:AEIS:6e26f08a7c6d,False,0.23529411764705882,,ENTITY,0.3125,False,,AEIS,,,0.09722748404019915,,0.2647058823529412,0.5,0.1875
87,stage3:AEVA:3c4e598fa5c7,False,0.8823529411764706,,ENTITY,0.782608695652174,True,,AEVA,,,0.10129566182340183,,-0.09511889862327905,0.7872340425531915,0.0046253469010175685
44,stage3:ALGT:aec5dd5b1dc1,False,0.6666666666666666,,ENTITY,0.23076923076923078,False,,ALGT,,,0.25067362600509874,,-0.030303030303030276,0.6363636363636364,0.40559440559440557
14,stage3:AMD:a01b055a1d13,False,0.0,,ENTITY,0.3333333333333333,False,,AMD,,,0.4676827012956771,,0.875,0.875,0.5416666666666667
76,stage3:AMSC:57bf3f342f43,False,0.5789473684210527,,ENTITY,0.2857142857142857,False,,AMSC,,,0.1744326797978535,,0.2815177478580171,0.8604651162790697,0.574750830564784
16,stage3:AMZN:bdc7a3a74814,True,0.0,,ENTITY,0.0,False,,AMZN,,,0.626992933570913,,0.3333333333333333,0.3333333333333333,0.3333333333333333
29,stage3:ANET:fe220620802b,False,0.0,,ENTITY,0.35714285714285715,False,,ANET,,,0.2577361623226436,,0.7142857142857143,0.7142857142857143,0.35714285714285715
72,stage3:APA:692dd6626ba8,False,0.3333333333333333,,ENTITY,0.6857142857142857,False,,APA,,,0.10069201671279583,,0.380952380952381,0.7142857142857143,0.02857142857142858
21,stage3:ARKW:296c057b4ef7,False,0.42857142857142855,,ENTITY,0.0,False,,ARKW,,,0.3339082689251828,,0.3714285714285715,0.8,0.8
88,stage3:AVAV:3d66945d7c65,False,0.36363636363636365,,ENTITY,0.2608695652173913,False,,AVAV,,,0.214485603955735,,0.265993265993266,0.6296296296296297,0.36876006441223835
14,stage3:AVGO:e4fd3cee2402,False,1.0,,ENTITY,0.4,False,,AVGO,,,0.4463561788888997,,-0.375,0.625,0.22499999999999998
177,stage3:AXON:25b116de3cd4,False,0.4074074074074074,,ENTITY,0.3333333333333333,False,,AXON,,,0.1300196381251703,,0.0,0.4074074074074074,0.07407407407407407
13,stage3:BB:f1bdfe7f8ad9,False,0.6666666666666666,,ENTITY,1.0,False,,BB,,,0.5153461722796209,,0.11111111111111116,0.7777777777777778,-0.2222222222222222
45,stage3:BBIO:82c4a7aa36a9,False,0.4,,ENTITY,0.25,False,,BBIO,,,0.281342905625201,,0.6,1.0,0.75
27,stage3:BE:b07b2e49fef8,False,0.7777777777777778,,ENTITY,0.5,False,,BE,,,0.26520221205069755,,0.1507936507936508,0.9285714285714286,0.4285714285714286
19,stage3:BELFB:b031f5add884,False,0.3333333333333333,,ENTITY,1.0,False,,BELFB,,,0.43415127349658245,,0.6666666666666667,1.0,0.0
11,stage3:BIDU:926c6f7918c9,True,0.3333333333333333,,ENTITY,0.0,False,,BIDU,,,0.6584078810399447,,0.16666666666666669,0.5,0.5
20,stage3:BMA:0c978464f9dd,False,0.2857142857142857,,ENTITY,0.5,False,,BMA,,,0.34296779598066013,,0.7142857142857143,1.0,0.5
36,stage3:BN:d264957fe5f6,False,0.0,,ENTITY,0.0,False,,BN,,,0.19670959585087458,,0.6428571428571429,0.6428571428571429,0.6428571428571429
17,stage3:BTU:ecfcb41f1be2,False,0.0,,ENTITY,0.0,False,,BTU,,,0.36344302694637476,,0.8125,0.8125,0.8125
95,stage3:BWXT:f195725cb792,False,0.5,,ENTITY,0.24,False,,BWXT,,,0.10346523358863277,,-0.12903225806451613,0.3709677419354839,0.13096774193548388
30,stage3:C:8d6430f3dfbc,False,0.125,,ENTITY,0.1111111111111111,False,,C,,,0.3250525682849994,,0.41346153846153844,0.5384615384615384,0.42735042735042733
39,stage3:CAPR:a51d615a0ff1,False,0.0,,ENTITY,0.5454545454545454,False,,CAPR,,,0.2513707286130119,,0.7692307692307693,0.7692307692307693,0.22377622377622386
33,stage3:CBRE:30fdb7f6db1e,False,0.25,,ENTITY,0.6666666666666666,False,,CBRE,,,0.2983009548644808,,0.2954545454545454,0.5454545454545454,-0.12121212121212122
99,stage3:CBRL:677767a0b6a9,False,0.4166666666666667,,ENTITY,0.25806451612903225,False,,CBRL,,,0.12331821936203402,,0.20833333333333331,0.625,0.36693548387096775
11,stage3:CC:520ee91feeea,False,0.0,,ENTITY,1.0,False,,CC,,,0.4649489357756687,,1.0,1.0,0.0
14,stage3:CIEN:2ed675d30868,False,1.0,,ENTITY,0.5,False,,CIEN,,,0.4738367014068985,,-0.125,0.875,0.375
69,stage3:CIGI:2067519c6762,False,0.0,,ENTITY,0.5217391304347826,False,,CIGI,,,0.13898858064403755,,0.46153846153846156,0.46153846153846156,-0.06020066889632103
17,stage3:CLF:869ed9e90afb,False,0.3333333333333333,,ENTITY,0.5,False,,CLF,,,0.41273041762387935,,0.5666666666666667,0.9,0.4
46,stage3:COHR:10ef1bf6b0d1,False,0.75,,ENTITY,0.25,False,,COHR,,,0.2976277430428165,,-0.01666666666666672,0.7333333333333333,0.4833333333333333
14,stage3:CRS:8695c9ce3320,False,0.0,,ENTITY,0.0,False,,CRS,,,0.4133643147103009,,0.8333333333333334,0.8333333333333334,0.8333333333333334
92,stage3:CSIQ:030ce2015af8,False,0.6363636363636364,,ENTITY,0.5714285714285714,False,,CSIQ,,,0.13639417755682992,,0.13722126929674106,0.7735849056603774,0.202156334231806
64,stage3:CVNA:8d8594e95b89,False,0.3333333333333333,,ENTITY,0.25,False,,CVNA,,,0.20244319754752577,,0.5345911949685536,0.8679245283018868,0.6179245283018868
148,stage3:CW:81ce9154b422,False,0.48484848484848486,,ENTITY,0.02564102564102564,False,,CW,,,0.06580696598959879,,-0.18221690590111644,0.3026315789473684,0.27699055330634276
27,stage3:DB:3fddd15661db,False,0.5,,ENTITY,0.0,False,,DB,,,0.25232449110257915,,0.0625,0.5625,0.5625
26,stage3:DBRG:5eba9682ac09,False,0.058823529411764705,,ENTITY,0.0,False,,DBRG,,,0.4564256224933108,,0.8161764705882353,0.875,0.875
85,stage3:DDOG:6c41f43018cf,False,0.8,,ENTITY,0.6923076923076923,False,,DDOG,,,0.17594478086398982,,-0.044897959183673564,0.7551020408163265,0.06279434850863419
143,stage3:DELL:47ee59ff823b,False,0.5666666666666667,,ENTITY,0.21818181818181817,False,,DELL,,,0.16166691196468613,,-0.06666666666666665,0.5,0.28181818181818186
102,stage3:DLTR:9f4d686fbc80,False,0.35714285714285715,,ENTITY,0.1,False,,DLTR,,,0.09099233215905642,,0.09113300492610837,0.4482758620689655,0.34827586206896555
,,,,87,SURVIVOR_POOL,,True,1,,True,1.0,,1.0,,,
