ticker,date,regime,position_independent_daily_evaluation,holding_state_ignored_for_candidate_generation,feature_cutoff,entry_open_d0,entry_high_d0,entry_low_d0,entry_close_d0,future_high_d1,future_high_d2,forward_max_return_pct,label_2d3pct,ret_d5_pct,ret_d4_pct,ret_d3_pct,ret_d2_pct,ret_d1_pct,cumulative_ret5_pct,up_days5,days_since_high5,close_pos5,pullback_from_high5_pct,single_up_day5_pct,fade_after_surge_score
CARR,2020-06-16,stress,True,True,D-1,22.9599990845,22.9799995422,21.9249992371,22.0699996948,22.3400001526,21.8899993896,-2.7003438877249653,0,-4.75995779546341,-4.351565538296354,-5.135140801009063,2.279209220195888,1.9962784569362624,-9.848179906253895,2.0,4.0,0.4974746891005242,9.05780534042282,2.279209220195888,0.0
CARR,2020-06-17,stress,True,True,D-1,22.1700000763,22.3400001526,21.0799999237,21.2600002289,21.8899993896,21.8500003815,-1.262971067822971,0,-4.351565538296354,-5.135140801009063,2.279209220195888,1.9962784569362624,0.4551678858679242,-4.911673565990404,3.0,4.0,0.6571428398412675,4.8935203381740955,2.279209220195888,2.279209220195888
CARR,2020-06-18,stress,True,True,D-1,21.0,21.8899993896,21.0,21.25,21.8500003815,22.8250007629,8.69047982333333,1,-5.135140801009063,2.279209220195888,1.9962784569362624,0.4551678858679242,-3.6701380928919836,-4.234236494130672,3.0,1.0,0.42281893371359336,8.090307125029582,2.279209220195888,5.510884717185793
CARR,2020-06-19,stress,True,True,D-1,21.7600002289,21.8500003815,21.0,21.4500007629,22.8250007629,23.2399997711,6.801468412828293,1,2.279209220195888,1.9962784569362624,0.4551678858679242,-3.6701380928919836,-0.04703776478048871,0.9021867944851936,3.0,2.0,0.263830101521361,8.141174316235311,2.279209220195888,5.994658726945101
CARR,2020-06-22,stress,True,True,D-1,21.5200004578,22.8250007629,21.3099994659,22.7399997711,23.2399997711,22.6599998474,7.992561694749312,1,1.9962784569362624,0.4551678858679242,-3.6701380928919836,-0.04703776478048871,0.9411800607058929,-0.4178279887408709,3.0,3.0,0.348936795325747,7.132861188267614,1.9962784569362624,1.9962784569362624
CARR,2020-06-23,stress,True,True,D-1,23.1200008392,23.2399997711,22.3199996948,22.3899993896,22.6599998474,21.8700008392,-1.9896235947364893,0,0.4551678858679242,-3.6701380928919836,-0.04703776478048871,0.9411800607058929,6.013981176313932,3.5047814372500152,3.0,4.0,0.8787879663682467,1.0554079750036527,6.013981176313932,0.4551678858679242
CARR,2020-06-24,stress,True,True,D-1,22.1000003815,22.6599998474,21.4500007629,21.8199996948,21.8700008392,21.7399997711,-1.0407218928943252,0,-3.6701380928919836,-0.04703776478048871,0.9411800607058929,6.013981176313932,-1.5391397758271363,1.449930671613897,2.0,0.0,0.6205355051966864,3.796339458119058,6.013981176313932,0.9411800607058929
CARR,2020-06-25,stress,True,True,D-1,21.6200008392,21.8700008392,21.0349998474,21.5200004578,21.7399997711,22.4699993134,3.9315376559044157,1,-0.04703776478048871,0.9411800607058929,6.013981176313932,-1.5391397758271363,-2.5457780720832046,2.634052021969202,2.0,1.0,0.3660713297293427,6.507791458119971,6.013981176313932,10.059715941312552
CARR,2020-06-26,stress,True,True,D-1,21.5200004578,21.7399997711,20.5909996033,20.9699993134,22.4699993134,22.4099998474,4.414492729509534,1,0.9411800607058929,6.013981176313932,-1.5391397758271363,-2.5457780720832046,-1.3748819486532615,1.2705903896470527,2.0,2.0,0.23214308523997804,7.992561694749312,6.013981176313932,9.899639753884548
CARR,2020-06-29,stress,True,True,D-1,21.0799999237,22.4699993134,21.0,22.1200008392,22.4099998474,23.0100002289,9.155599203917086,1,6.013981176313932,-1.5391397758271363,-2.5457780720832046,-1.3748819486532615,-2.555767345258808,-2.237768915748539,1.0,3.0,0.14307273918172697,10.824990615280816,6.013981176313932,9.909491686346461
CARR,2020-06-30,stress,True,True,D-1,21.8099994659,22.4099998474,21.4099998474,22.2199993134,23.0100002289,23.2199993134,6.464923805727452,1,-1.5391397758271363,-2.5457780720832046,-1.3748819486532615,-2.555767345258808,5.484032252996496,-2.726468505456847,1.0,4.0,0.5771993729882771,5.0632861184851,5.484032252996496,0.0
CARR,2020-07-01,stress,True,True,D-1,22.3199996948,23.0100002289,21.8700008392,22.6100006104,23.2199993134,24.2900009155,8.826170464325589,1,-2.5457780720832046,-1.3748819486532615,-2.555767345258808,5.484032252996496,0.45207265102262806,-0.7592678911771844,2.0,4.0,0.7873366447129642,1.9802004842306875,5.484032252996496,0.0
CARR,2020-07-02,stress,True,True,D-1,22.9899997711,23.2199993134,22.5699996948,22.9099998474,24.2900009155,24.1800003052,5.654637483007674,1,-1.3748819486532615,-2.555767345258808,5.484032252996496,0.45207265102262806,1.755181408870743,3.6205358691561607,3.0,0.0,0.834642614695155,1.7691269690457645,5.484032252996496,5.484032252996496
CARR,2020-07-06,stress,True,True,D-1,23.1299991608,24.2900009155,23.1299991608,24.2099990845,24.1800003052,24.0900001526,4.539564126658124,1,-2.555767345258808,5.484032252996496,0.45207265102262806,1.755181408870743,1.3268431176512552,6.45910483285419,4.0,0.0,0.8820846328704214,1.3531185860534922,5.484032252996496,5.484032252996496
CARR,2020-07-07,stress,True,True,D-1,23.7600002289,24.1800003052,23.7240009308,24.0100002289,24.0900001526,24.2199993134,1.9360230642611054,0,5.484032252996496,0.45207265102262806,1.755181408870743,1.3268431176512552,5.674374708682217,15.450643191149837,5.0,0.0,0.9756833408090895,0.33044954161611795,5.674374708682217,5.484032252996496
CARR,2020-07-08,stress,True,True,D-1,23.8799991608,24.0900001526,23.4599990845,23.9899997711,24.2199993134,26.0599994659,9.128979822907857,1,0.45207265102262806,1.755181408870743,1.3268431176512552,5.674374708682217,-0.826100219590864,8.54430071426866,4.0,1.0,0.9027775754316923,1.16618360654146,5.674374708682217,1.755181408870743
CARR,2020-07-09,stress,True,True,D-1,24.0,24.2199993134,23.7600002289,23.9099998474,26.0599994659,25.2099990845,8.58333110791667,1,1.755181408870743,1.3268431176512552,5.674374708682217,-0.826100219590864,-0.08330053148407623,7.965798885657849,3.0,2.0,0.8760325888672371,1.2505258326905189,5.674374708682217,6.5830873138836505
CARR,2020-07-10,stress,True,True,D-1,23.8400001526,26.0599994659,23.7199993134,24.8899993896,25.2099990845,25.1599998474,5.74663977823251,1,1.3268431176512552,5.674374708682217,-0.826100219590864,-0.08330053148407623,-0.3334719652493323,5.749664758531825,2.0,3.0,0.7790693032500607,1.5892976600805797,5.674374708682217,6.090869421496226
CARR,2020-07-13,stress,True,True,D-1,25.1399993896,25.2099990845,23.2600002289,24.2800006866,25.1599998474,26.5699996948,5.6881477323804885,1,5.674374708682217,-0.826100219590864,-0.08330053148407623,-0.3334719652493323,4.098701582829856,8.642512245257405,2.0,0.0,0.600682609396497,4.7006834270509,5.674374708682217,5.674374708682217
CARR,2020-07-14,stress,True,True,D-1,24.2999992371,25.1599998474,24.2299995422,25.1499996185,26.5699996948,26.9899997711,11.069961392809603,1,-0.826100219590864,-0.08330053148407623,-0.3334719652493323,4.098701582829856,-2.4507782963421043,0.2891433488108497,1.0,1.0,0.36428597701792903,7.33113150314848,4.098701582829856,0.0
CARR,2020-07-15,stress,True,True,D-1,25.5799999237,26.5699996948,25.5400009155,26.4500007629,26.9899997711,26.8999996185,5.512118262727705,1,-0.08330053148407623,-0.3334719652493323,4.098701582829856,-2.4507782963421043,3.583191545707609,4.7480190701032265,2.0,2.0,0.6749999659374911,3.6182897065756503,4.098701582829856,4.098701582829856
CARR,2020-07-16,stress,True,True,D-1,26.1200008392,26.9899997711,25.9200000763,26.6100006104,26.8999996185,26.5400009155,2.9862126885134233,0,-0.3334719652493323,4.098701582829856,-2.4507782963421043,3.583191545707609,5.168990712205557,10.254276845652521,3.0,0.0,0.9637465404039358,0.45368214910721516,5.168990712205557,4.098701582829856
CARR,2020-07-17,stress,True,True,D-1,26.8899993896,26.8999996185,26.3299999237,26.4799995422,26.5400009155,26.7999992371,-0.3346974880736098,0,4.098701582829856,-2.4507782963421043,3.583191545707609,5.168990712205557,0.6049143398302759,11.292349561824032,4.0,0.0,0.8981235369064225,1.4280313866339434,5.168990712205557,4.098701582829856
CARR,2020-07-20,stress,True,True,D-1,26.2199993134,26.5400009155,26.0650005341,26.4099998474,26.7999992371,27.0599994659,3.2036619927396703,1,-2.4507782963421043,3.583191545707609,5.168990712205557,0.6049143398302759,-0.4885421466288564,6.388108443523577,3.0,1.0,0.8632706993311873,1.9259827708351551,5.168990712205557,5.168990712205557
CARR,2020-07-21,stress,True,True,D-1,26.2900009155,26.7999992371,26.1599998474,26.5699996948,27.0599994659,27.6299991608,5.096988203260078,1,3.583191545707609,5.168990712205557,0.6049143398302759,-0.4885421466288564,-0.26434930517443833,8.772648684378058,3.0,2.0,0.7898551175370165,2.196137550364652,5.168990712205557,5.920590706238748
CARR,2020-07-22,stress,True,True,D-1,26.3400001526,27.0599994659,26.3199996948,26.6000003815,27.6299991608,27.2600002289,4.897490511489866,1,5.168990712205557,0.6049143398302759,-0.4885421466288564,-0.26434930517443833,0.6058305502631312,5.646123649463064,3.0,3.0,0.7103445463574481,1.580730452105339,5.168990712205557,5.168990712205557
CARR,2020-07-23,stress,True,True,D-1,26.6599998474,27.6299991608,26.5200004578,27.3500003815,27.2600002289,26.7800006866,2.2505640845249753,0,0.6049143398302759,-0.4885421466288564,-0.26434930517443833,0.6058305502631312,0.11291188198949698,0.5671062921495107,3.0,0.0,0.5964918151742142,1.7293198413633304,0.6058305502631312,0.6049143398302759
CARR,2020-07-24,stress,True,True,D-1,27.25,27.2600002289,26.5400009155,26.5799999237,26.7800006866,26.3999996185,-1.7247681225687983,0,-0.4885421466288564,-0.26434930517443833,0.6058305502631312,0.11291188198949698,2.81954883174218,2.7809085085506613,3.0,0.0,0.8210868849831423,1.0237615188093185,2.81954883174218,0.6058305502631312
CARR,2020-07-27,stress,True,True,D-1,26.5,26.7800006866,26.0799999237,26.25,26.3999996185,27.7199993134,4.603770993962253,1,-0.26434930517443833,0.6058305502631312,0.11291188198949698,2.81954883174218,-2.815358124531653,0.3776449517706171,3.0,1.0,0.32907338116068646,3.9503357415880513,2.81954883174218,0.681020240162189
CARR,2020-07-28,stress,True,True,D-1,26.0699996948,26.3999996185,25.8500003815,26.0699996948,27.7199993134,27.5,6.329112535160908,1,0.6058305502631312,0.11291188198949698,2.81954883174218,-2.815358124531653,-1.2415347052193049,-0.6058305502631534,3.0,2.0,0.10967752256321363,5.25713966019048,2.81954883174218,6.841488013300867
CARR,2020-07-29,stress,True,True,D-1,26.1100006104,27.7199993134,26.1100006104,27.1800003052,27.5,27.3549995422,5.323628330542207,1,0.11291188198949698,2.81954883174218,-2.815358124531653,-1.2415347052193049,-0.6857154483809524,-1.8818216249278152,2.0,3.0,0.1235952045913858,5.983887549914946,2.81954883174218,4.738285590071745
CARR,2020-07-30,stress,True,True,D-1,25.8500003815,27.5,25.6000003815,26.8999996185,27.3549995422,27.8899993896,7.891678831695348,1,2.81954883174218,-2.815358124531653,-1.2415347052193049,-0.6857154483809524,4.257769940140821,2.1804508097051922,2.0,0.0,0.7112303119599451,1.9867512955718647,4.257769940140821,2.81954883174218
CARR,2020-07-31,stress,True,True,D-1,26.8500003815,27.3549995422,26.6299991608,27.2399997711,27.8899993896,27.8700008392,3.8733668280190203,1,-2.815358124531653,-1.2415347052193049,-0.6857154483809524,4.257769940140821,-1.0301717570121993,-1.6453409752212877,1.0,1.0,0.6132074962108153,3.048326046577543,4.257769940140821,0.0
CARR,2020-08-03,stress,True,True,D-1,27.2399997711,27.8899993896,27.0100002289,27.6200008392,27.8700008392,28.1749992371,3.432450344555349,1,-1.2415347052193049,-0.6857154483809524,4.257769940140821,-1.0301717570121993,1.263941105657751,2.4830694104386097,2.0,2.0,0.7735850074840314,1.7621128720024748,4.257769940140821,4.257769940140821
CARR,2020-08-04,stress,True,True,D-1,27.3999996185,27.8700008392,27.1599998474,27.7700004578,28.1749992371,28.5400009155,4.160588733111847,1,-0.6857154483809524,4.257769940140821,-1.0301717570121993,1.263941105657751,1.3950112749382626,5.219050816000004,3.0,0.0,0.8820966518129557,0.9775472201174029,4.257769940140821,4.257769940140821
CARR,2020-08-05,stress,True,True,D-1,27.6599998474,28.1749992371,27.6599998474,28.1100006104,28.5400009155,29.0300006866,4.953003784375576,1,4.257769940140821,-1.0301717570121993,1.263941105657751,1.3950112749382626,0.543083323832172,6.520908258158076,4.0,1.0,0.9475986970406752,0.43211714015760627,4.257769940140821,4.257769940140821
CARR,2020-08-06,stress,True,True,D-1,28.0200004578,28.5400009155,27.9400005341,28.2700004578,29.0300006866,29.5699996948,5.531760212975034,1,-1.0301717570121993,1.263941105657751,1.3950112749382626,0.543083323832172,1.2243433453185348,3.421634638547366,4.0,0.0,0.9747578036554684,0.23122954567262877,1.3950112749382626,1.3950112749382626
CARR,2020-08-07,stress,True,True,D-1,28.7199993134,29.0300006866,28.4400005341,28.9699993134,29.5699996948,30.3199996948,5.5710321018478615,1,1.263941105657751,1.3950112749382626,0.543083323832172,1.2243433453185348,0.5691919029727988,5.092939995277179,5.0,0.0,0.8586386336894183,0.955077655916714,1.3950112749382626,1.3950112749382626
