ticker,date,regime,position_independent_daily_evaluation,holding_state_ignored_for_candidate_generation,feature_cutoff,entry_open_d0,entry_high_d0,entry_low_d0,entry_close_d0,future_high_d1,future_high_d2,forward_max_return_pct,label_2d3pct,ret_d5_pct,ret_d4_pct,ret_d3_pct,ret_d2_pct,ret_d1_pct,cumulative_ret5_pct,up_days5,days_since_high5,close_pos5,pullback_from_high5_pct,single_up_day5_pct,fade_after_surge_score
ADPT,2020-06-16,stress,True,True,D-1,44.9000015259,45.1699981689,43.0299987793,43.6500015259,44.8699989319,44.7700004578,-0.0668209197781322,0,5.276514276302002,5.373492872771091,-4.184765688218284,1.9331683272118871,4.144229678390121,12.836127875043978,4.0,0.0,0.9147154096990581,1.1465875484466759,5.373492872771091,5.373492872771091
ADPT,2020-06-17,stress,True,True,D-1,44.0200004578,44.8699989319,43.7150001526,44.2000007629,44.7700004578,45.7309989929,3.8868662364968776,1,5.373492872771091,-4.184765688218284,1.9331683272118871,4.144229678390121,-1.866002753692797,5.180726568433736,3.0,0.0,0.6209483094168923,3.4822373192773037,5.373492872771091,5.373492872771091
ADPT,2020-06-18,stress,True,True,D-1,44.1399993896,44.7700004578,43.7299995422,44.5699996948,45.7309989929,46.6300010681,5.6411457021602995,1,-4.184765688218284,1.9331683272118871,4.144229678390121,-1.866002753692797,1.2600211174646825,1.0747798436321565,3.0,1.0,0.7581052837854649,2.1945642290897682,4.144229678390121,4.773723343367243
ADPT,2020-06-19,stress,True,True,D-1,45.0,45.7309989929,44.3499984741,44.7299995422,46.6300010681,47.4710006714,5.4911126031111035,1,1.9331683272118871,4.144229678390121,-1.866002753692797,1.2600211174646825,0.8371016414338461,6.372310433567829,4.0,2.0,0.8503743827315221,1.3461935791083235,4.144229678390121,4.144229678390121
ADPT,2020-06-22,stress,True,True,D-1,44.6800003052,46.6300010681,43.8699989319,46.0,47.4710006714,47.0,6.246643570132604,1,4.144229678390121,-1.866002753692797,1.2600211174646825,0.8371016414338461,0.358985525006994,4.7295727019415645,4.0,0.0,0.7460035678676626,2.237870469360548,4.144229678390121,4.144229678390121
ADPT,2020-06-23,stress,True,True,D-1,46.5,47.4710006714,45.7799987793,46.9599990845,47.0,47.6739997864,2.52473072344086,0,-1.866002753692797,1.2600211174646825,0.8371016414338461,0.358985525006994,2.8392588213685066,3.417267251448397,4.0,0.0,0.8249998145667844,1.3695675393478268,2.8392588213685066,1.2600211174646825
ADPT,2020-06-24,stress,True,True,D-1,46.6800003052,47.0,45.0800018311,45.8300018311,47.6739997864,47.5,2.1293904770803396,0,1.2600211174646825,0.8371016414338461,0.358985525006994,2.8392588213685066,2.0869545315217453,7.5830411062780545,5.0,0.0,0.863950608009165,1.0881635367592457,2.8392588213685066,1.2600211174646825
ADPT,2020-06-25,stress,True,True,D-1,45.9599990845,47.6739997864,45.0019989014,47.1899986267,47.5,46.3600006104,3.350741832410886,1,0.8371016414338461,0.358985525006994,2.8392588213685066,2.0869545315217453,-2.4062974349013055,3.687785158520107,4.0,1.0,0.5613476757621505,3.5806213718857505,2.8392588213685066,3.208820058107642
ADPT,2020-06-26,stress,True,True,D-1,47.4199981689,47.5,45.6759986877,46.2900009155,46.3600006104,48.4300003052,2.1299075818235647,0,0.358985525006994,2.8392588213685066,2.0869545315217453,-2.4062974349013055,2.967481434131458,5.8783911820526225,4.0,0.0,0.8727652337071788,1.0256435130009844,2.967481434131458,2.8392588213685066
ADPT,2020-06-29,stress,True,True,D-1,46.2099990845,46.3600006104,44.3400001526,46.0600013733,48.4300003052,48.6899986267,5.366802837769069,1,2.8392588213685066,2.0869545315217453,-2.4062974349013055,2.967481434131458,-1.9071789306872033,3.4875953258802106,3.0,1.0,0.636172828598927,2.9898441208208615,2.967481434131458,2.8392588213685066
ADPT,2020-06-30,stress,True,True,D-1,46.2099990845,48.4300003052,45.7400016785,48.3800010681,48.6899986267,48.8499984741,5.713047915825475,1,2.0869545315217453,-2.4062974349013055,2.967481434131458,-1.9071789306872033,-0.4968665751807988,0.13043776804346763,2.0,2.0,0.5158972434377824,3.504121504511293,2.967481434131458,5.362050805363983
ADPT,2020-07-01,stress,True,True,D-1,48.1699981689,48.6899986267,46.6599998474,47.7799987793,48.8499984741,48.4199981689,1.4116676999149647,0,-2.4062974349013055,2.967481434131458,-1.9071789306872033,-0.4968665751807988,5.03690756758175,3.023854368150314,2.0,0.0,0.9877752481089245,0.10334691193911727,5.03690756758175,2.967481434131458
ADPT,2020-07-02,stress,True,True,D-1,47.6100006104,48.8499984741,47.03099823,47.4900016785,48.4199981689,47.4319992065,1.7013181014811085,0,2.967481434131458,-1.9071789306872033,-0.4968665751807988,5.03690756758175,-1.2401865968449055,4.254848069582118,2.0,0.0,0.7908045593996957,1.9045623077626583,5.03690756758175,2.967481434131458
ADPT,2020-07-06,stress,True,True,D-1,48.4199981689,48.4199981689,46.2999992371,46.9700012207,47.4319992065,48.9000015259,0.9913328689638456,0,-1.9071789306872033,-0.4968665751807988,5.03690756758175,-1.2401865968449055,-0.6069424617181851,0.635734394004106,1.0,0.0,0.6984484918505092,2.8637539430024894,5.03690756758175,6.876509407084052
ADPT,2020-07-07,stress,True,True,D-1,46.5,47.4319992065,46.0900001526,46.5499992371,48.9000015259,49.0,5.376344086021501,1,-0.4968665751807988,5.03690756758175,-1.2401865968449055,-0.6069424617181851,-1.094968286841358,1.469000414239141,1.0,1.0,0.5831490126198711,4.002548870642708,5.03690756758175,6.7321724886661
ADPT,2020-07-08,stress,True,True,D-1,46.5999984741,48.9000015259,46.4900016785,48.8100013733,49.0,48.6100006104,5.150218035380205,1,5.03690756758175,-1.2401865968449055,-0.6069424617181851,-1.094968286841358,-0.8941919793157171,1.063825117651973,1.0,2.0,0.260449644110882,4.9409221797943825,5.03690756758175,7.016276715141833
