ticker,date,regime,position_independent_daily_evaluation,holding_state_ignored_for_candidate_generation,feature_cutoff,entry_open_d0,entry_high_d0,entry_low_d0,entry_close_d0,future_high_d1,future_high_d2,forward_max_return_pct,label_2d3pct,ret_d5_pct,ret_d4_pct,ret_d3_pct,ret_d2_pct,ret_d1_pct,cumulative_ret5_pct,up_days5,days_since_high5,close_pos5,pullback_from_high5_pct,single_up_day5_pct,fade_after_surge_score
AVGO,2020-06-16,stress,True,True,D-1,31.0,31.4549999237,30.3999996185,31.0720005035,31.670999527,31.9120006561,2.941937600322575,0,-0.6928735673240483,-0.0887982946398913,-6.757871158237272,2.2127646587233984,1.2789368295724968,-4.22965601472276,2.0,3.0,0.4358212842863233,4.972209249154003,2.2127646587233984,0.0
AVGO,2020-06-17,stress,True,True,D-1,31.341999054,31.670999527,31.1790008545,31.3439998627,31.9120006561,31.8099994659,1.8186510730152428,0,-0.0887982946398913,-6.757871158237272,2.2127646587233984,1.2789368295724968,2.1802758990786986,-1.4588325843917005,3.0,4.0,0.6832093556658602,2.732360355762631,2.2127646587233984,2.2127646587233984
AVGO,2020-06-18,stress,True,True,D-1,31.2119998932,31.9120006561,31.1520004272,31.8710002899,31.8099994659,31.4179992676,1.9159284081321504,0,-6.757871158237272,2.2127646587233984,1.2789368295724968,2.1802758990786986,0.8753841233021253,-0.5078715365424147,4.0,0.0,0.8654322538148459,1.0432608018517087,2.2127646587233984,2.2127646587233984
AVGO,2020-06-19,stress,True,True,D-1,31.767999649,31.8099994659,30.2770004272,30.2770004272,31.4179992676,31.7439994812,-0.07554825001628851,0,2.2127646587233984,1.2789368295724968,2.1802758990786986,0.8753841233021253,1.681343892000009,8.497022263489363,5.0,0.0,0.9846498149819437,0.12864474232705536,2.2127646587233984,2.2127646587233984
AVGO,2020-06-22,stress,True,True,D-1,30.5499992371,31.4179992676,30.3530006409,31.3540000916,31.7439994812,31.0970001221,3.908347868794726,1,1.2789368295724968,2.1802758990786986,0.8753841233021253,1.681343892000009,-5.001411465598526,0.8393032869340233,4.0,1.0,0.38786995472786445,5.400139398984716,2.1802758990786986,5.584434398867833
AVGO,2020-06-23,stress,True,True,D-1,31.5060005188,31.7439994812,31.1289997101,31.1299991608,31.0970001221,30.9479999542,-1.2981666665559333,0,2.1802758990786986,0.8753841233021253,1.681343892000009,-5.001411465598526,3.5571544380349263,3.107631564905211,4.0,2.0,0.6587152988501949,1.7796790293736375,3.5571544380349263,3.8024408565552226
AVGO,2020-06-24,stress,True,True,D-1,30.9200000763,31.0970001221,30.4510002136,30.6970005035,30.9479999542,31.577999115,2.128069330777116,0,0.8753841233021253,1.681343892000009,-5.001411465598526,3.5571544380349263,-0.7144253688383784,0.18665890950106956,3.0,3.0,0.5217116906300888,2.5120511287540337,3.5571544380349263,1.681343892000009
AVGO,2020-06-25,stress,True,True,D-1,30.6060009003,30.9479999542,30.2999992371,30.8850002289,31.577999115,31.0410003662,3.17584194637619,1,1.681343892000009,-5.001411465598526,3.5571544380349263,-0.7144253688383784,-1.3909369385568415,-2.0641888783631046,2.0,4.0,0.25688074464831645,3.9580419346231244,3.5571544380349263,5.652579539076552
AVGO,2020-06-26,stress,True,True,D-1,31.357000351,31.577999115,30.3150005341,30.7409992218,31.0410003662,31.7070007324,1.1161794096444577,0,-5.001411465598526,3.5571544380349263,-0.7144253688383784,-1.3909369385568415,0.6124367928995733,-3.0937217283150797,2.0,4.0,0.3966080775990514,2.9949788898963714,3.5571544380349263,4.34417319326994
AVGO,2020-06-29,stress,True,True,D-1,30.8069992065,31.0410003662,30.4449996948,30.9780006409,31.7070007324,31.6849994659,2.921418992701219,0,3.5571544380349263,-0.7144253688383784,-1.3909369385568415,0.6124367928995733,-0.46624900771493616,1.5325124287515424,2.0,3.0,0.3054015998278871,3.262744493642611,3.5571544380349263,3.5571544380349263
AVGO,2020-06-30,stress,True,True,D-1,30.9950008392,31.7070007324,30.6749992371,31.561000824,31.6849994659,31.9379997253,3.0424225215937684,1,-0.7144253688383784,-1.3909369385568415,0.6124367928995733,-0.46624900771493616,0.7709619891988817,-1.1992072769073325,2.0,4.0,0.4695299786618643,2.4727187825306585,0.7709619891988817,0.6124367928995733
AVGO,2020-07-01,stress,True,True,D-1,31.5109996796,31.6849994659,31.1940002441,31.2730007172,31.9379997253,32.0989990234,1.8660129788921287,0,-1.3909369385568415,0.6124367928995733,-0.46624900771493616,0.7709619891988817,1.8819813126682794,1.3845219236071626,3.0,0.0,0.8962332954956311,0.46259593988851044,1.8819813126682794,0.6124367928995733
