oos_mi_rank,feature,origin,family,coverage_pct,pearson_train,pearson_stress,pearson_oos,spearman_oos,mi_bits_oos,mi_entropy_fraction_oos,sign_stable,univariate_strength,redundancy_reference,retention_recommendation,proposed_group,reason
3,mean_range5_pct,EXPANSION,VOLATILITY,100.00000000,0.21565294,0.22330482,0.17489070,0.19923181,0.02987781,0.02987801,True,STRONG,,KEEP_CORE,G2_VOLATILITY_REGIME,OOS 단변량 정보량/상관이 유효하고 그룹 의미가 분명
5,true_range_d1_pct,EXPANSION,VOLATILITY,100.00000000,0.17460477,0.17526551,0.14339629,0.18771288,0.02624263,0.02624280,True,STRONG,,KEEP_CORE,G3_RANGE_EXPANSION,OOS 단변량 정보량/상관이 유효하고 그룹 의미가 분명
6,realized_vol20_pct,EXPANSION,VOLATILITY,99.01185771,0.19912662,0.19029500,0.08526529,0.17505589,0.02508889,0.02508905,True,STRONG,,KEEP_CORE,G2_VOLATILITY_REGIME,OOS 단변량 정보량/상관이 유효하고 그룹 의미가 분명
8,bb_width20_pct,EXPANSION,VOLATILITY,100.00000000,0.16303673,0.15951172,0.11565969,0.14187895,0.01693073,0.01693084,True,STRONG,,KEEP_CORE,G2_VOLATILITY_REGIME,OOS 단변량 정보량/상관이 유효하고 그룹 의미가 분명
11,pullback_from_high5_pct,EXISTING_12,PRICE_PATH,100.00000000,0.13035551,0.14082108,0.10321900,0.12110069,0.01090482,0.01090489,True,STRONG,,KEEP_CORE,G1_PULLBACK_SETUP,OOS 단변량 정보량/상관이 유효하고 그룹 의미가 분명
13,single_up_day5_pct,EXISTING_12,PRICE_PATH,100.00000000,0.11158552,0.11635725,0.04684751,0.08157355,0.00798684,0.00798689,True,MODERATE,,KEEP_CORE,G2_VOLATILITY_REGIME,OOS 단변량 정보량/상관이 유효하고 그룹 의미가 분명
14,fade_after_surge_score,EXISTING_12,PRICE_PATH,100.00000000,0.10864736,0.12369555,0.05978530,0.09228578,0.00733344,0.00733349,True,MODERATE,,KEEP_CORE,G1_PULLBACK_SETUP,OOS 단변량 정보량/상관이 유효하고 그룹 의미가 분명
7,realized_vol10_pct,EXPANSION,VOLATILITY,99.67061924,0.18399129,0.18630825,0.07914177,0.15936620,0.02007086,0.02007099,True,STRONG,,KEEP_GROUP_ONLY,,단독 효과는 약하거나 비선형이나 상쇄 경계/확인 축으로 유지
12,ret_d1_pct,EXISTING_12,PRICE_PATH,100.00000000,-0.00747376,-0.00592767,-0.01249935,-0.03916657,0.01070871,0.01070878,True,WEAK,,KEEP_GROUP_ONLY,G1_PULLBACK_SETUP,단독 효과는 약하거나 비선형이나 상쇄 경계/확인 축으로 유지
20,range_vs_atr14,EXPANSION,VOLATILITY,100.00000000,0.04611888,0.04966046,0.05932588,0.06217600,0.00319087,0.00319089,True,WEAK,,KEEP_GROUP_ONLY,G3_RANGE_EXPANSION,단독 효과는 약하거나 비선형이나 상쇄 경계/확인 축으로 유지
23,range_vs_range20,EXPANSION,VOLATILITY,99.99472991,0.04060901,0.03666709,0.04755064,0.04965625,0.00210345,0.00210347,True,WEAK,,KEEP_GROUP_ONLY,G3_RANGE_EXPANSION,단독 효과는 약하거나 비선형이나 상쇄 경계/확인 축으로 유지
25,close_pos5,EXISTING_12,PRICE_PATH,100.00000000,-0.03187538,-0.04136706,-0.04837136,-0.04843609,0.00195265,0.00195266,True,WEAK,,KEEP_GROUP_ONLY,G1_PULLBACK_SETUP,단독 효과는 약하거나 비선형이나 상쇄 경계/확인 축으로 유지
28,volume_ratio5_prior,EXPANSION,VOLUME,99.99868248,0.02092113,-0.00895907,0.03176925,0.03796416,0.00132627,0.00132628,False,WEAK,,KEEP_GROUP_ONLY,G4_VOLUME_CONFIRMATION,단독 효과는 약하거나 비선형이나 상쇄 경계/확인 축으로 유지
29,volume_chg1_pct,EXPANSION,VOLUME,99.99077734,0.01948952,-0.01498886,0.02318850,0.02558553,0.00123688,0.00123689,False,WEAK,,KEEP_GROUP_ONLY,G4_VOLUME_CONFIRMATION,단독 효과는 약하거나 비선형이나 상쇄 경계/확인 축으로 유지
32,volume_ratio20_prior,EXPANSION,VOLUME,100.00000000,0.01637651,0.00527577,0.03221086,0.03025602,0.00098240,0.00098241,True,WEAK,,KEEP_GROUP_ONLY,G4_VOLUME_CONFIRMATION,단독 효과는 약하거나 비선형이나 상쇄 경계/확인 축으로 유지
